aded,trump,johnson,clinton,stein,total,winner
23001,572,21,171,7,831,trump
23002,573,13,156,15,820,trump
23003,559,18,167,6,817,trump
23004,99,5,32,1,146,trump
23005,427,6,277,11,773,trump
23006,474,8,276,9,829,trump
23007,526,15,259,4,862,trump
23008,472,18,243,3,804,trump
23009,469,18,307,14,914,trump
23010,424,21,353,10,869,trump
23011,414,11,303,17,818,trump
23012,145,10,292,8,595,clinton
23013,273,9,264,5,593,trump
23014,444,8,373,10,892,trump
23015,161,3,252,5,440,clinton
23016,133,4,262,3,426,clinton
23017,120,2,295,7,450,clinton
23018,42,0,503,7,586,clinton
23019,175,8,542,12,846,clinton
23020,0,0,0,0,0,null
23021,109,6,317,8,476,clinton
23022,0,0,0,0,0,null
23023,265,2,193,1,495,trump
23024,98,3,479,4,634,clinton
23025,206,7,332,1,623,clinton
23026,173,6,353,5,588,clinton
23027,478,9,48,1,597,trump
23028,411,12,145,4,647,trump
23029,169,4,461,2,713,clinton
23030,121,7,572,4,852,clinton
23031,103,2,466,5,674,clinton
23032,17,0,327,3,373,clinton
23033,24,3,557,2,662,clinton
23034,38,4,395,5,487,clinton
23035,160,5,476,8,687,clinton
23036,244,11,361,10,667,clinton
23037,95,9,313,2,447,clinton
23038,14,1,74,1,179,clinton
23039,353,6,133,0,562,trump
23040,401,13,160,6,615,trump
23041,332,11,122,3,489,trump
23042,38,4,609,5,757,clinton
23043,69,0,295,5,397,clinton
23044,553,6,203,2,827,trump
23045,534,7,199,1,795,trump
23046,619,2,176,3,853,trump
23047,333,3,126,2,482,trump
23048,307,6,133,6,483,trump
23049,577,11,154,8,813,trump
23050,456,17,294,13,826,trump
23051,554,10,196,4,804,trump
23052,316,2,194,6,553,trump
23053,313,6,443,13,839,clinton
23054,298,8,385,8,736,clinton
23055,88,3,270,4,389,clinton
23056,146,3,474,11,689,clinton
23057,245,9,567,11,866,clinton
23058,238,7,501,8,820,clinton
23059,162,4,469,8,684,clinton
23060,171,6,487,13,726,clinton
