aded,first2016,total_voted_reg2008,total_voted2016,pct_first2016_total_voted_reg2008,pct_first2016_total_voted2016
23001,27,604,746,4.470198675,3.619302949
23002,25,660,818,3.787878788,3.056234719
23003,28,611,739,4.582651391,3.788903924
23004,7,112,138,6.25,5.072463768
23005,34,523,650,6.500956023,5.230769231
23006,37,576,713,6.423611111,5.189340813
23007,36,546,686,6.593406593,5.247813411
23008,24,593,727,4.047217538,3.301237964
23009,51,581,687,8.777969019,7.423580786
23010,44,494,645,8.906882591,6.821705426
23011,42,506,684,8.300395257,6.140350877
23012,51,408,577,12.5,8.83882149
23013,37,480,678,7.708333333,5.457227139
23014,43,557,745,7.719928187,5.771812081
23015,25,316,419,7.911392405,5.966587112
23016,29,273,415,10.62271062,6.987951807
23017,30,307,429,9.771986971,6.993006993
23018,22,347,540,6.340057637,4.074074074
23019,21,252,397,8.333333333,5.289672544
23021,21,268,466,7.835820896,4.506437768
23023,47,339,474,13.86430678,9.915611814
23024,24,430,577,5.581395349,4.159445407
23025,22,368,559,5.97826087,3.935599284
23026,42,381,532,11.02362205,7.894736842
23027,28,415,562,6.746987952,4.982206406
23028,23,357,516,6.442577031,4.457364341
23029,22,349,556,6.303724928,3.956834532
23030,26,346,514,7.514450867,5.058365759
23031,25,378,552,6.613756614,4.528985507
23032,8,244,353,3.278688525,2.266288952
23033,29,369,604,7.859078591,4.801324503
23034,22,300,448,7.333333333,4.910714286
23035,11,334,492,3.293413174,2.235772358
23036,25,424,594,5.896226415,4.208754209
23037,24,445,613,5.393258427,3.915171289
23038,16,60,99,26.66666667,16.16161616
23039,25,433,584,5.773672055,4.280821918
23040,40,476,586,8.403361345,6.825938567
23041,36,356,456,10.11235955,7.894736842
23042,27,428,636,6.308411215,4.245283019
23043,18,204,364,8.823529412,4.945054945
23044,38,378,511,10.05291005,7.436399217
23045,47,593,746,7.925801012,6.300268097
23046,45,438,582,10.2739726,7.731958763
23047,28,357,466,7.843137255,6.008583691
23048,28,340,449,8.235294118,6.236080178
23049,53,541,707,9.796672828,7.496463932
23050,41,471,690,8.704883227,5.942028986
23051,47,569,734,8.260105448,6.403269755
23052,46,529,707,8.695652174,6.506364922
23053,44,429,638,10.25641026,6.896551724
23054,34,440,616,7.727272727,5.519480519
23055,29,374,592,7.754010695,4.898648649
23056,3,26,67,11.53846154,4.47761194
23057,22,384,570,5.729166667,3.859649123
23058,32,413,589,7.748184019,5.432937182
23059,34,366,576,9.289617486,5.902777778
23060,21,374,597,5.614973262,3.51758794
23061,33,490,697,6.734693878,4.734576758
23062,26,560,702,4.642857143,3.703703704
23063,20,413,544,4.842615012,3.676470588
23064,40,591,742,6.768189509,5.39083558
23065,45,435,677,10.34482759,6.646971935
23066,31,271,461,11.43911439,6.724511931
23067,9,200,404,4.5,2.227722772
23068,18,240,445,7.5,4.04494382
23069,32,294,494,10.88435374,6.477732794
23070,28,361,576,7.756232687,4.861111111
23071,1,4,6,25,16.66666667
23084,20,310,447,6.451612903,4.474272931
23085,33,297,407,11.11111111,8.108108108
23086,22,260,369,8.461538462,5.962059621
23087,17,247,370,6.882591093,4.594594595
23088,12,231,366,5.194805195,3.278688525
23089,33,390,567,8.461538462,5.82010582
23090,37,405,502,9.135802469,7.370517928
23091,2,43,71,4.651162791,2.816901408
23092,33,457,594,7.221006565,5.555555556
23093,24,347,466,6.916426513,5.150214592
24001,18,301,418,5.980066445,4.306220096
24002,26,462,668,5.627705628,3.892215569
24003,25,407,552,6.142506143,4.528985507
24004,11,322,454,3.416149068,2.422907489
24005,23,413,621,5.569007264,3.703703704
24006,31,481,676,6.444906445,4.585798817
24007,26,434,622,5.99078341,4.180064309
24008,18,109,200,16.51376147,9
24009,0,7,20,0,0
24010,14,229,356,6.113537118,3.93258427
24011,25,270,461,9.259259259,5.422993492
24012,4,58,80,6.896551724,5
24013,16,375,525,4.266666667,3.047619048
24014,15,266,383,5.639097744,3.916449086
24015,19,285,417,6.666666667,4.556354916
24016,25,237,341,10.54852321,7.331378299
24017,40,465,640,8.602150538,6.25
24018,21,337,439,6.231454006,4.783599089
24019,25,484,635,5.165289256,3.937007874
24020,26,574,741,4.529616725,3.50877193
24021,20,531,656,3.766478343,3.048780488
24022,23,406,524,5.665024631,4.389312977
24023,6,67,90,8.955223881,6.666666667
24024,26,412,529,6.310679612,4.914933837
24025,20,374,490,5.347593583,4.081632653
24026,10,241,418,4.149377593,2.392344498
24027,19,452,617,4.203539823,3.079416532
24028,23,431,556,5.336426914,4.136690647
24029,21,469,613,4.47761194,3.425774878
24030,24,505,667,4.752475248,3.5982009
24031,14,265,366,5.283018868,3.825136612
24032,7,241,318,2.904564315,2.201257862
24033,24,512,659,4.6875,3.641881639
24034,13,304,380,4.276315789,3.421052632
24035,26,404,548,6.435643564,4.744525547
24036,10,153,244,6.535947712,4.098360656
24037,10,271,394,3.6900369,2.538071066
24038,1,13,22,7.692307692,4.545454545
24039,1,38,103,2.631578947,0.970873786
24040,20,440,678,4.545454545,2.949852507
24041,7,96,152,7.291666667,4.605263158
24042,18,231,348,7.792207792,5.172413793
24043,26,350,677,7.428571429,3.840472674
24044,16,256,477,6.25,3.354297694
24045,24,317,508,7.570977918,4.724409449
24046,21,313,507,6.709265176,4.142011834
24047,39,339,557,11.50442478,7.001795332
24048,13,102,208,12.74509804,6.25
24049,15,507,663,2.958579882,2.262443439
24050,28,332,509,8.43373494,5.500982318
24051,18,298,546,6.040268456,3.296703297
24052,32,284,500,11.26760563,6.4
24053,46,461,697,9.978308026,6.599713056
24054,12,346,693,3.468208092,1.731601732
24055,18,264,555,6.818181818,3.243243243
24056,0,22,34,0,0
24057,9,109,263,8.256880734,3.422053232
24058,3,47,123,6.382978723,2.43902439
24059,24,287,433,8.362369338,5.542725173
24060,5,76,151,6.578947368,3.311258278
24061,17,301,422,5.647840532,4.028436019
24062,22,277,616,7.942238267,3.571428571
24063,23,244,411,9.426229508,5.596107056
24064,15,211,356,7.109004739,4.213483146
24065,12,197,334,6.091370558,3.592814371
24066,23,242,457,9.504132231,5.032822757
24067,21,295,510,7.118644068,4.117647059
24068,18,294,524,6.12244898,3.435114504
24069,19,220,388,8.636363636,4.896907216
24070,25,296,492,8.445945946,5.081300813
24071,31,253,507,12.25296443,6.114398422
24072,20,298,540,6.711409396,3.703703704
24073,22,290,520,7.586206897,4.230769231
24074,25,305,534,8.196721311,4.68164794
24075,35,301,497,11.62790698,7.042253521
24076,31,330,585,9.393939394,5.299145299
24077,27,287,544,9.407665505,4.963235294
24078,15,218,407,6.880733945,3.685503686
24079,24,297,577,8.080808081,4.159445407
24084,41,436,572,9.403669725,7.167832168
24085,30,292,503,10.2739726,5.964214712
24086,17,187,309,9.090909091,5.501618123
24087,17,263,459,6.463878327,3.703703704
24088,12,196,363,6.12244898,3.305785124
24089,17,397,541,4.282115869,3.14232902
24090,10,216,325,4.62962963,3.076923077
24091,18,309,401,5.825242718,4.488778055
25001,18,239,360,7.531380753,5
25002,3,43,90,6.976744186,3.333333333
25003,29,421,607,6.888361045,4.777594728
25004,20,348,522,5.747126437,3.831417625
25005,7,78,112,8.974358974,6.25
25006,26,301,443,8.637873754,5.869074492
25007,21,268,454,7.835820896,4.625550661
25008,31,338,502,9.171597633,6.175298805
25009,3,120,165,2.5,1.818181818
25010,11,213,293,5.164319249,3.754266212
25011,28,439,576,6.378132118,4.861111111
25012,25,407,560,6.142506143,4.464285714
25013,29,404,579,7.178217822,5.008635579
25014,32,441,577,7.256235828,5.54592721
25015,28,350,458,8,6.113537118
25016,18,299,435,6.02006689,4.137931034
25017,29,366,559,7.923497268,5.18783542
25018,27,344,548,7.848837209,4.927007299
25019,16,364,559,4.395604396,2.862254025
25020,21,388,605,5.412371134,3.47107438
25021,32,366,480,8.743169399,6.666666667
25022,37,378,593,9.788359788,6.239460371
25023,19,192,292,9.895833333,6.506849315
25024,33,375,559,8.8,5.903398927
25025,33,419,602,7.875894988,5.481727575
25026,4,60,82,6.666666667,4.87804878
25027,48,389,513,12.33933162,9.356725146
25028,46,407,571,11.3022113,8.056042032
25029,40,460,591,8.695652174,6.768189509
25030,30,438,593,6.849315068,5.059021922
25031,18,359,516,5.013927577,3.488372093
25032,24,323,510,7.430340557,4.705882353
25033,16,229,344,6.986899563,4.651162791
25034,2,39,48,5.128205128,4.166666667
25035,34,423,567,8.037825059,5.996472663
25036,42,452,645,9.292035398,6.511627907
25037,40,374,514,10.69518717,7.782101167
25038,27,352,494,7.670454545,5.465587045
25039,27,317,414,8.517350158,6.52173913
25040,41,388,508,10.56701031,8.070866142
25041,10,137,228,7.299270073,4.385964912
25042,18,237,335,7.594936709,5.373134328
25043,25,434,596,5.760368664,4.194630872
25044,20,327,502,6.116207951,3.984063745
25045,23,297,446,7.744107744,5.156950673
25046,45,310,448,14.51612903,10.04464286
25047,24,336,459,7.142857143,5.22875817
25048,12,243,393,4.938271605,3.053435115
25049,21,265,434,7.924528302,4.838709677
25050,16,248,441,6.451612903,3.628117914
25051,25,272,429,9.191176471,5.827505828
25052,20,287,424,6.968641115,4.716981132
25053,15,376,552,3.989361702,2.717391304
25054,16,327,487,4.892966361,3.285420945
25055,17,299,429,5.685618729,3.962703963
25056,32,261,384,12.2605364,8.333333333
25057,26,287,424,9.059233449,6.132075472
25058,34,421,610,8.076009501,5.573770492
25059,38,405,597,9.382716049,6.365159129
25060,23,247,342,9.311740891,6.725146199
25061,40,383,594,10.44386423,6.734006734
25062,25,228,433,10.96491228,5.773672055
25063,27,282,395,9.574468085,6.835443038
25064,22,317,476,6.940063091,4.621848739
25065,29,330,494,8.787878788,5.870445344
25066,5,47,67,10.63829787,7.462686567
25068,17,184,321,9.239130435,5.295950156
25069,21,180,253,11.66666667,8.300395257
25070,11,173,243,6.358381503,4.526748971
25071,16,313,493,5.111821086,3.245436105
25072,25,272,433,9.191176471,5.773672055
25073,28,336,453,8.333333333,6.181015453
25074,17,194,331,8.762886598,5.135951662
25075,18,332,430,5.421686747,4.186046512
25076,17,247,335,6.882591093,5.074626866
25077,16,211,274,7.582938389,5.839416058
25078,13,223,302,5.829596413,4.304635762
25079,18,203,275,8.866995074,6.545454545
26001,17,201,274,8.457711443,6.204379562
26002,7,95,137,7.368421053,5.109489051
26003,31,482,633,6.43153527,4.897314376
26004,47,434,611,10.82949309,7.692307692
26005,24,302,439,7.947019868,5.466970387
26006,35,460,653,7.608695652,5.359877489
26007,17,348,492,4.885057471,3.455284553
26008,29,557,712,5.206463196,4.073033708
26009,30,531,695,5.649717514,4.316546763
26010,39,534,667,7.303370787,5.847076462
26011,34,506,652,6.719367589,5.214723926
26012,21,461,616,4.555314534,3.409090909
26013,45,467,653,9.635974304,6.891271057
26014,35,521,700,6.717850288,5
26015,21,599,748,3.505843072,2.807486631
26016,24,575,769,4.173913043,3.120936281
26017,36,543,697,6.629834254,5.164992826
26018,40,556,719,7.194244604,5.563282337
26019,14,264,381,5.303030303,3.674540682
26020,17,574,749,2.961672474,2.269692924
26021,23,441,590,5.215419501,3.898305085
26022,21,476,639,4.411764706,3.286384977
26023,21,514,648,4.085603113,3.240740741
26024,14,466,569,3.004291845,2.460456942
26025,13,450,582,2.888888889,2.233676976
26026,26,537,725,4.841713222,3.586206897
26027,23,467,620,4.925053533,3.709677419
26028,30,527,732,5.69259962,4.098360656
26029,33,563,730,5.861456483,4.520547945
26030,33,578,737,5.709342561,4.47761194
26031,18,576,729,3.125,2.469135802
26032,32,463,659,6.911447084,4.855842185
26033,16,525,710,3.047619048,2.253521127
26034,33,499,662,6.613226453,4.98489426
26035,23,501,649,4.590818363,3.543913713
26036,11,185,281,5.945945946,3.914590747
26037,17,375,507,4.533333333,3.353057199
26038,1,40,65,2.5,1.538461538
26039,11,240,407,4.583333333,2.702702703
26040,23,250,399,9.2,5.764411028
26041,2,35,54,5.714285714,3.703703704
26042,13,318,416,4.088050314,3.125
26043,18,208,300,8.653846154,6
26044,27,210,305,12.85714286,8.852459016
26045,24,428,609,5.607476636,3.9408867
26046,34,528,685,6.439393939,4.96350365
26047,22,497,629,4.426559356,3.497615262
26048,33,536,683,6.156716418,4.831625183
26049,30,398,563,7.537688442,5.328596803
26050,36,436,577,8.256880734,6.239168111
26051,19,260,422,7.307692308,4.502369668
26052,25,368,537,6.793478261,4.655493482
26053,24,402,607,5.970149254,3.953871499
26054,33,421,594,7.83847981,5.555555556
26055,29,395,552,7.341772152,5.253623188
26056,15,431,593,3.480278422,2.529510961
26057,24,405,578,5.925925926,4.152249135
26058,19,403,576,4.714640199,3.298611111
26059,31,503,648,6.163021869,4.783950617
26060,25,485,614,5.154639175,4.071661238
26061,37,530,673,6.981132075,5.497771174
26062,36,460,635,7.826086957,5.669291339
26063,22,499,678,4.408817635,3.244837758
26064,21,464,600,4.525862069,3.5
26065,18,297,400,6.060606061,4.5
26066,24,546,697,4.395604396,3.443328551
26067,41,520,697,7.884615385,5.882352941
26068,26,478,635,5.439330544,4.094488189
26069,18,313,459,5.750798722,3.921568627
26070,20,387,613,5.167958656,3.262642741
26071,4,311,504,1.286173633,0.793650794
26072,27,482,629,5.601659751,4.292527822
26073,3,276,463,1.086956522,0.647948164
26074,24,311,516,7.717041801,4.651162791
26075,27,474,670,5.696202532,4.029850746
26076,25,397,609,6.297229219,4.105090312
26079,22,342,482,6.432748538,4.564315353
26080,26,339,475,7.669616519,5.473684211
26081,25,427,562,5.854800937,4.448398577
26082,13,254,371,5.118110236,3.504043127
26083,24,438,586,5.479452055,4.09556314
26084,3,298,513,1.006711409,0.584795322
26085,19,269,362,7.063197026,5.248618785
27001,11,429,593,2.564102564,1.854974705
27002,26,200,394,13,6.598984772
27003,21,333,565,6.306306306,3.716814159
27004,17,278,431,6.115107914,3.944315545
27005,35,372,596,9.408602151,5.872483221
27006,23,534,774,4.307116105,2.971576227
27007,29,502,718,5.77689243,4.038997214
27008,25,406,626,6.157635468,3.993610224
27009,27,315,538,8.571428571,5.018587361
27010,4,27,40,14.81481481,10
27011,28,315,493,8.888888889,5.679513185
27012,28,324,513,8.641975309,5.458089669
27013,46,527,710,8.728652751,6.478873239
27014,48,536,757,8.955223881,6.340819022
27015,53,359,555,14.7632312,9.54954955
27016,30,310,496,9.677419355,6.048387097
27017,8,150,245,5.333333333,3.265306122
27018,6,47,65,12.76595745,9.230769231
27019,22,390,581,5.641025641,3.786574871
27020,28,438,690,6.392694064,4.057971014
27021,12,480,666,2.5,1.801801802
27022,23,397,546,5.793450882,4.212454212
27023,31,546,725,5.677655678,4.275862069
27024,16,422,571,3.791469194,2.802101576
27025,16,439,557,3.644646925,2.872531418
27026,21,352,505,5.965909091,4.158415842
27027,11,191,265,5.759162304,4.150943396
27028,22,369,536,5.962059621,4.104477612
27029,8,268,450,2.985074627,1.777777778
27030,20,293,441,6.825938567,4.535147392
27031,7,44,70,15.90909091,10
27032,3,54,89,5.555555556,3.370786517
27033,4,61,82,6.557377049,4.87804878
27034,18,326,489,5.521472393,3.680981595
27035,21,431,601,4.872389791,3.494176373
27036,8,313,467,2.555910543,1.713062099
27037,9,513,674,1.754385965,1.335311573
27038,14,402,536,3.482587065,2.611940299
27039,11,367,508,2.997275204,2.165354331
27040,19,389,505,4.884318766,3.762376238
27041,9,257,337,3.501945525,2.670623145
27042,21,397,573,5.289672544,3.664921466
27043,20,237,331,8.438818565,6.042296073
27044,26,363,504,7.162534435,5.158730159
27045,30,439,615,6.833712984,4.87804878
27046,7,152,207,4.605263158,3.381642512
27047,16,303,471,5.280528053,3.397027601
27048,27,297,449,9.090909091,6.013363029
27049,28,324,445,8.641975309,6.292134831
27050,34,319,463,10.65830721,7.343412527
27051,43,586,754,7.337883959,5.702917772
27052,28,375,559,7.466666667,5.008944544
27053,36,315,476,11.42857143,7.56302521
27054,32,331,517,9.667673716,6.189555126
27055,22,301,412,7.3089701,5.339805825
27056,16,327,403,4.892966361,3.970223325
27057,30,296,375,10.13513514,8
27058,0,0,0,0,0
27059,36,355,559,10.14084507,6.440071556
27060,19,269,404,7.063197026,4.702970297
