aded,boro,nta_name,BLK,CON,DEM,GRE,IND,OTH,REF,REP,WEP,WOR,total_first2016,total_voted_reg2008,total_voted2016,pct_total_first2016_total_voted_reg2008,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes
23001,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,8,,6,,,1,,12,,,27,604,746,4.47,3.62,22.22,44.44,33.33,572,171,831
23002,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3,1,10,,2,,,9,,,25,660,818,3.79,3.06,40,36,24,573,156,820
23003,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,2,14,,,,,8,,,28,611,739,4.58,3.79,50,28.57,21.43,559,167,817
23004,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,,,3,,,,,4,,,7,112,138,6.25,5.07,42.86,57.14,0,99,32,146
23005,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,9,,12,,,,,13,,,34,523,650,6.5,5.23,35.29,38.24,26.47,427,277,773
23006,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5,,16,,,1,,15,,,37,576,713,6.42,5.19,43.24,40.54,16.22,474,276,829
23007,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,7,1,17,,2,,,9,,,36,546,686,6.59,5.25,47.22,25,27.78,526,259,862
23008,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,4,,5,,,1,,14,,,24,593,727,4.05,3.3,20.83,58.33,20.83,472,243,804
23009,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,10,3,20,,2,,,16,,,51,581,687,8.78,7.42,39.22,31.37,29.41,469,307,914
23010,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,9,1,22,,3,,,9,,,44,494,645,8.91,6.82,50,20.45,29.55,424,353,869
23011,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5,2,18,,2,,,15,,,42,506,684,8.3,6.14,42.86,35.71,21.43,414,303,818
23012,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5,,31,2,1,,,12,,,51,408,577,12.5,8.84,60.78,23.53,15.69,145,292,595
23013,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,6,,21,,1,1,,8,,,37,480,678,7.71,5.46,56.76,21.62,21.62,273,264,593
23014,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,7,,21,,2,,,13,,,43,557,745,7.72,5.77,48.84,30.23,20.93,444,373,892
23015,Queens,Hammels-Arverne-Edgemere,2,,18,,,,,5,,,25,316,419,7.91,5.97,72,20,8,161,252,440
23016,Queens,Hammels-Arverne-Edgemere,5,,18,,,,,6,,,29,273,415,10.62,6.99,62.07,20.69,17.24,133,262,426
23017,Queens,Hammels-Arverne-Edgemere,3,,18,,2,,,7,,,30,307,429,9.77,6.99,60,23.33,16.67,120,295,450
23018,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2,1,18,,,,,1,,,22,347,540,6.34,4.07,81.82,4.55,13.64,42,503,586
23019,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5,1,12,,1,,,2,,,21,252,397,8.33,5.29,57.14,9.52,33.33,175,542,846
23021,Queens,Hammels-Arverne-Edgemere,3,,13,,1,,,4,,,21,268,466,7.84,4.51,61.9,19.05,19.05,109,317,476
