aded,boro,nta_name,DEM,REP,ALL_OTH,total_first2016,total_voted2016,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes,winner,female_first2016,pct_female_first2016,female_first2016_dem,female_first2016_rep,male_first2016,pct_male_first2016,male_first2016_dem,male_first2016_rep
23001,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,6,12,9,27,746,3.62,22.22,44.44,33.33,572,171,831,trump,9,33.33333333,2,5,18,66.66666667,4,7
23002,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,10,9,6,25,818,3.06,40,36,24,573,156,820,trump,13,52,4,4,12,48,6,5
23003,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,14,8,6,28,739,3.79,50,28.57,21.43,559,167,817,trump,11,39.28571429,6,3,17,60.71428571,8,5
23004,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3,4,0,7,138,5.07,42.86,57.14,0,99,32,146,trump,4,57.14285714,1,3,3,42.85714286,2,1
23005,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,12,13,9,34,650,5.23,35.29,38.24,26.47,427,277,773,trump,16,47.05882353,6,7,18,52.94117647,6,6
23006,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,16,15,6,37,713,5.19,43.24,40.54,16.22,474,276,829,trump,24,64.86486486,9,12,13,35.13513514,7,3
23007,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,17,9,10,36,686,5.25,47.22,25,27.78,526,259,862,trump,17,47.22222222,7,5,19,52.77777778,10,4
23008,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,5,14,5,24,727,3.3,20.83,58.33,20.83,472,243,804,trump,11,45.83333333,4,5,13,54.16666667,1,9
23009,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,20,16,15,51,687,7.42,39.22,31.37,29.41,469,307,914,trump,23,45.09803922,13,5,28,54.90196078,7,11
23010,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,22,9,13,44,645,6.82,50,20.45,29.55,424,353,869,trump,27,61.36363636,11,6,17,38.63636364,11,3
23011,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,18,15,9,42,684,6.14,42.86,35.71,21.43,414,303,818,trump,22,52.38095238,8,7,20,47.61904762,10,8
23012,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,31,12,8,51,577,8.84,60.78,23.53,15.69,145,292,595,clinton,29,56.8627451,17,8,22,43.1372549,14,4
23013,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,21,8,8,37,678,5.46,56.76,21.62,21.62,273,264,593,trump,20,54.05405405,12,4,17,45.94594595,9,4
23014,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,21,13,9,43,745,5.77,48.84,30.23,20.93,444,373,892,trump,24,55.81395349,12,7,19,44.18604651,9,6
23015,Queens,Hammels-Arverne-Edgemere,18,5,2,25,419,5.97,72,20,8,161,252,440,clinton,14,56,9,3,11,44,9,2
23016,Queens,Hammels-Arverne-Edgemere,18,6,5,29,415,6.99,62.07,20.69,17.24,133,262,426,clinton,15,51.72413793,8,3,14,48.27586207,10,3
23017,Queens,Hammels-Arverne-Edgemere,18,7,5,30,429,6.99,60,23.33,16.67,120,295,450,clinton,18,60,10,6,12,40,8,1
23018,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,18,1,3,22,540,4.07,81.82,4.55,13.64,42,503,586,clinton,12,54.54545455,10,0,10,45.45454545,8,1
23019,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,12,2,7,21,397,5.29,57.14,9.52,33.33,175,542,846,clinton,10,47.61904762,5,1,11,52.38095238,7,1
23021,Queens,Hammels-Arverne-Edgemere,13,4,4,21,466,4.51,61.9,19.05,19.05,109,317,476,clinton,12,57.14285714,8,3,9,42.85714286,5,1
23023,Queens,Far Rockaway-Bayswater,23,17,7,47,474,9.92,48.94,36.17,14.89,265,193,495,trump,30,63.82978723,14,12,17,36.17021277,9,5
23024,Queens,Far Rockaway-Bayswater,15,2,7,24,577,4.16,62.5,8.33,29.17,98,479,634,clinton,11,45.83333333,10,0,13,54.16666667,5,2
