nta,first2016,total_voted,total,pct_first2016_total_voted,pct_first2016_total
BK09,296,8050,10810,3.677018634,2.738205365
BK17,1330,13723,24469,9.691758362,5.435448935
BK19,699,5252,10309,13.30921554,6.780483073
BK21,719,5772,11597,12.45668746,6.199879279
BK23,648,4953,8251,13.08298001,7.853593504
BK25,615,6789,12458,9.058771542,4.936586932
BK26,587,5229,9991,11.2258558,5.875287759
BK27,521,4389,8470,11.87058555,6.151121606
BK28,1387,10966,21827,12.6481853,6.35451505
BK29,910,8044,15982,11.31277971,5.693905644
BK30,646,7109,12824,9.087072725,5.037429819
BK31,1272,19225,30755,6.616384915,4.13591286
BK32,600,7424,14479,8.081896552,4.143932592
BK33,584,12123,17724,4.81728945,3.294967276
BK34,573,5798,13351,9.882718179,4.291813347
BK35,653,14436,26811,4.523413688,2.435567491
BK37,824,21804,30569,3.779123097,2.695541235
BK38,485,10724,16590,4.522566207,2.92344786
BK40,320,7533,10399,4.247975574,3.077218963
BK41,442,6917,11608,6.390053491,3.807718815
BK42,1134,22137,37392,5.122645345,3.032734275
BK43,692,10812,19116,6.400295967,3.620004185
BK44,607,7538,13513,8.052533829,4.491970695
BK45,887,11954,18767,7.420110423,4.726381414
BK46,223,3870,6792,5.762273902,3.283274441
BK50,920,20625,33550,4.460606061,2.742175857
BK58,804,17815,28900,4.5130508,2.78200692
BK60,681,15353,26431,4.435615189,2.576519995
BK61,1046,23120,40222,4.524221453,2.600566854
BK63,418,9196,15904,4.545454545,2.628269618
BK64,284,6956,9797,4.08280621,2.898846586
BK68,303,7590,12267,3.992094862,2.470041575
BK69,305,10050,15685,3.034825871,1.944532993
BK72,295,2686,10688,10.98287416,2.76010479
BK73,698,9719,18922,7.181808828,3.688827819
BK75,757,12613,25171,6.001744232,3.007429184
BK76,378,6614,11167,5.715149682,3.384973583
BK77,477,6530,14219,7.30474732,3.354666292
BK78,893,12356,26434,7.227258012,3.378225013
BK79,282,6733,12190,4.188326155,2.313371616
BK81,636,12566,23806,5.06127646,2.671595396
BK82,1022,19222,35591,5.316824472,2.871512461
BK83,521,6775,15360,7.6900369,3.391927083
BK85,299,5655,10549,5.287356322,2.834391885
