zipcode,first2016,total_voted,total,pct_first2016_total_voted,pct_first2016_total
10000,0,0,1,0,0
10001,251,5378,8758,4.667162514,2.86595113
10002,1348,16697,30229,8.073306582,4.459294055
10003,501,13053,17670,3.838198115,2.835314092
10004,29,477,694,6.07966457,4.178674352
10005,47,842,1159,5.581947743,4.055220017
10006,25,385,541,6.493506494,4.621072089
10007,68,1476,2081,4.60704607,3.267659779
10009,826,15193,23472,5.436714276,3.519086571
10010,309,7746,10751,3.989155693,2.874151242
10011,593,15386,20678,3.854153126,2.867782184
10012,212,5189,7322,4.08556562,2.895383775
10013,367,6059,9284,6.057105133,3.953037484
10014,341,9195,12465,3.708537249,2.735659848
10016,543,10320,14374,5.261627907,3.777654098
10017,166,3358,5005,4.943418702,3.316683317
10018,75,1023,1668,7.331378299,4.496402878
10019,528,9124,13352,5.786935555,3.954463751
10020,0,5,14,0,0
10021,586,12969,17512,4.518467114,3.346276839
10022,379,8913,12706,4.252215864,2.982842751
10023,760,20045,26377,3.791469194,2.881298101
10024,747,20592,26979,3.627622378,2.768820193
10025,1176,29925,41382,3.929824561,2.841815282
10026,471,9001,13876,5.232751916,3.394349957
10027,554,12883,20515,4.300240627,2.700463076
10028,572,13634,18307,4.195393868,3.124487901
10029,1110,16814,28842,6.601641489,3.848554192
10030,295,6170,10099,4.781199352,2.921081295
10031,624,11463,19757,5.443601152,3.158374247
10032,841,11971,21120,7.025311169,3.982007576
10033,811,11773,19868,6.888643506,4.081940809
10034,567,8917,14079,6.358640798,4.027274664
10035,455,7228,12370,6.294964029,3.67825384
10036,333,6077,9448,5.479677472,3.524555461
10037,209,5994,9009,3.486820153,2.31990232
10038,301,4297,7415,7.004887131,4.059339177
10039,266,6860,10636,3.87755102,2.500940203
10040,522,9000,14386,5.8,3.628527735
10041,0,0,1,0,0
10044,75,1880,2954,3.989361702,2.538930264
10065,379,7801,11312,4.858351493,3.350424328
10069,71,1322,1786,5.37065053,3.975363942
10075,440,8065,10892,5.45567266,4.039662137
10103,0,1,8,0,0
10105,0,0,1,0,0
10107,0,1,22,0,0
10111,0,0,1,0,0
10112,0,1,7,0,0
10115,0,0,1,0,0
10118,0,1,4,0,0
10119,0,4,10,0,0
10122,0,0,4,0,0
10123,0,2,8,0,0
10128,757,17413,23274,4.34732671,3.252556501
10129,9,153,203,5.882352941,4.433497537
10151,0,1,1,0,0
10152,0,0,1,0,0
10153,0,1,6,0,0
10154,0,2,4,0,0
10158,0,0,1,0,0
10162,17,453,581,3.752759382,2.925989673
10165,0,0,8,0,0
10166,0,0,2,0,0
10167,0,0,1,0,0
10168,0,0,1,0,0
10169,0,1,5,0,0
10170,0,0,2,0,0
10171,1,1,3,100,33.33333333
10172,0,0,1,0,0
10173,0,0,1,0,0
10175,0,0,1,0,0
10177,0,0,1,0,0
10178,0,0,2,0,0
10271,0,0,4,0,0
