aded,boroname,ntaname
23001,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23002,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23003,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23004,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23005,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23006,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23007,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23008,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23009,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23010,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23011,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23012,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23013,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23014,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23015,Queens,Hammels-Arverne-Edgemere
23016,Queens,Hammels-Arverne-Edgemere
23017,Queens,Hammels-Arverne-Edgemere
23018,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23019,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23019,Queens,Hammels-Arverne-Edgemere
23021,Queens,Hammels-Arverne-Edgemere
23022,Queens,Hammels-Arverne-Edgemere
23023,Queens,Far Rockaway-Bayswater
23024,Queens,Far Rockaway-Bayswater
23025,Queens,Far Rockaway-Bayswater
23026,Queens,Far Rockaway-Bayswater
23027,Queens,Far Rockaway-Bayswater
23028,Queens,Far Rockaway-Bayswater
23029,Queens,Far Rockaway-Bayswater
23030,Queens,Far Rockaway-Bayswater
23031,Queens,Far Rockaway-Bayswater
23032,Queens,Far Rockaway-Bayswater
23033,Queens,Far Rockaway-Bayswater
23034,Queens,Hammels-Arverne-Edgemere
23034,Queens,Far Rockaway-Bayswater
23035,Queens,Far Rockaway-Bayswater
23036,Queens,Far Rockaway-Bayswater
23037,Queens,Far Rockaway-Bayswater
23038,Queens,Hammels-Arverne-Edgemere
23039,Queens,Far Rockaway-Bayswater
23040,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23041,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23042,Queens,Far Rockaway-Bayswater
23043,Queens,Woodhaven
23043,Queens,Ozone Park
23044,Queens,Lindenwood-Howard Beach
23045,Queens,Lindenwood-Howard Beach
23046,Queens,Lindenwood-Howard Beach
23047,Queens,Lindenwood-Howard Beach
23048,Queens,Lindenwood-Howard Beach
23049,Queens,Lindenwood-Howard Beach
23050,Queens,Lindenwood-Howard Beach
23051,Queens,Lindenwood-Howard Beach
23052,Queens,Lindenwood-Howard Beach
23053,Queens,Ozone Park
23054,Queens,Ozone Park
23055,Queens,Ozone Park
23056,Queens,Ozone Park
23057,Queens,Ozone Park
23058,Queens,Ozone Park
23059,Queens,Ozone Park
23060,Queens,Ozone Park
23061,Queens,Lindenwood-Howard Beach
23062,Queens,Lindenwood-Howard Beach
23063,Queens,Lindenwood-Howard Beach
23064,Queens,Lindenwood-Howard Beach
23065,Queens,Lindenwood-Howard Beach
23066,Queens,Ozone Park
23067,Queens,Ozone Park
23068,Queens,Woodhaven
23069,Queens,Woodhaven
23070,Queens,South Ozone Park
23071,Queens,Hammels-Arverne-Edgemere
23084,Queens,Lindenwood-Howard Beach
23085,Queens,Hammels-Arverne-Edgemere
23086,Queens,Hammels-Arverne-Edgemere
23087,Queens,Hammels-Arverne-Edgemere
23088,Queens,Far Rockaway-Bayswater
23089,Queens,Ozone Park
23090,Queens,Lindenwood-Howard Beach
23091,Queens,South Ozone Park
23092,Queens,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel
23093,Queens,Lindenwood-Howard Beach
24001,Queens,Bellerose
24001,Queens,Glen Oaks-Floral Park-New Hyde Park
24002,Queens,Bellerose
24002,Queens,Glen Oaks-Floral Park-New Hyde Park
24003,Queens,Glen Oaks-Floral Park-New Hyde Park
24004,Queens,Glen Oaks-Floral Park-New Hyde Park
24005,Queens,Bellerose
24006,Queens,Glen Oaks-Floral Park-New Hyde Park
24007,Queens,Bellerose
24007,Queens,Glen Oaks-Floral Park-New Hyde Park
24008,Queens,Bellerose
24009,Queens,Bellerose
24010,Queens,Bellerose
24011,Queens,Bellerose
24012,Queens,Bellerose
24013,Queens,Bellerose
24014,Queens,Bellerose
24015,Queens,Bellerose
24016,Queens,Oakland Gardens
24017,Queens,Oakland Gardens
24018,Queens,Oakland Gardens
24019,Queens,Oakland Gardens
24020,Queens,Oakland Gardens
24021,Queens,Oakland Gardens
24022,Queens,Oakland Gardens
24023,Queens,Oakland Gardens
24024,Queens,Oakland Gardens
24025,Queens,Oakland Gardens
24026,Queens,Richmond Hill
24027,Queens,Jamaica Estates-Holliswood
24028,Queens,Jamaica Estates-Holliswood
24029,Queens,Jamaica Estates-Holliswood
24030,Queens,Jamaica Estates-Holliswood
24031,Queens,Jamaica Estates-Holliswood
24032,Queens,Jamaica Estates-Holliswood
24033,Queens,Jamaica Estates-Holliswood
24034,Queens,Jamaica Estates-Holliswood
24035,Queens,Jamaica Estates-Holliswood
24036,Queens,Jamaica Estates-Holliswood
24037,Queens,Jamaica Estates-Holliswood
24038,Queens,Jamaica Estates-Holliswood
24039,Queens,Pomonok-Flushing Heights-Hillcrest
24040,Queens,Jamaica Estates-Holliswood
24041,Queens,Pomonok-Flushing Heights-Hillcrest
24042,Queens,Pomonok-Flushing Heights-Hillcrest
24043,Queens,Briarwood-Jamaica Hills
24044,Queens,Briarwood-Jamaica Hills
24044,Queens,Jamaica
24045,Queens,Briarwood-Jamaica Hills
24046,Queens,Briarwood-Jamaica Hills
24047,Queens,Briarwood-Jamaica Hills
24048,Queens,Briarwood-Jamaica Hills
24048,Queens,Jamaica
24049,Queens,Kew Gardens Hills
24050,Queens,Briarwood-Jamaica Hills
24051,Queens,Briarwood-Jamaica Hills
24051,Queens,Jamaica
24052,Queens,Briarwood-Jamaica Hills
24053,Queens,Jamaica Estates-Holliswood
24053,Queens,Briarwood-Jamaica Hills
24054,Queens,Jamaica Estates-Holliswood
24054,Queens,Briarwood-Jamaica Hills
24055,Queens,Briarwood-Jamaica Hills
24056,Queens,Jamaica Estates-Holliswood
24057,Queens,Jamaica
24058,Queens,Jamaica
24059,Queens,Queens Village
24060,Queens,Jamaica
24061,Queens,Bellerose
24062,Queens,Briarwood-Jamaica Hills
24063,Queens,South Ozone Park
24064,Queens,Richmond Hill
24065,Queens,Richmond Hill
24066,Queens,Richmond Hill
24067,Queens,Briarwood-Jamaica Hills
24068,Queens,Richmond Hill
24069,Queens,Richmond Hill
24070,Queens,Richmond Hill
24071,Queens,Richmond Hill
24072,Queens,Richmond Hill
24072,Queens,South Ozone Park
24073,Queens,Richmond Hill
24073,Queens,South Ozone Park
24074,Queens,South Ozone Park
24075,Queens,South Ozone Park
24076,Queens,Richmond Hill
24076,Queens,South Ozone Park
24077,Queens,South Ozone Park
24078,Queens,Briarwood-Jamaica Hills
24079,Queens,Richmond Hill
24084,Queens,Oakland Gardens
24085,Queens,Briarwood-Jamaica Hills
24086,Queens,Briarwood-Jamaica Hills
24087,Queens,Richmond Hill
24088,Queens,Richmond Hill
24089,Queens,Oakland Gardens
24090,Queens,Jamaica Estates-Holliswood
24091,Queens,Jamaica Estates-Holliswood
