Rounds,Active
First Choice,"Yang,Adams,Garcia,Wiley,Stringer,Morales,McGuire,Donovan,Chang,PaperboyPrince"
Round 1,"Yang,Adams,Garcia,Wiley,Stringer,Morales,McGuire,Donovan,Chang"
Round 2,"Yang,Adams,Garcia,Wiley,Stringer,Morales,McGuire,Donovan"
Round 3,"Yang,Adams,Garcia,Wiley,Stringer,Morales,McGuire"
Round 4,"Yang,Adams,Garcia,Wiley,Stringer,McGuire"
Round 5,"Yang,Adams,Garcia,Wiley,Stringer"
Round 6,"Yang,Adams,Garcia,Wiley"
Round 7,"Yang,Adams,Garcia"
Round 8,"Yang,Adams"
Round 9,Yang
