GEOID,county_name,state,state_name,MRR2010,TractsHTC ,TotPopinHTCTracts,TotPopinHHsHTCTracts,TotPopACS18,TotUnder5,WhiteAloneOrCombo,BlackAloneOrCombo,AmerIndAloneorCombo,AsianAloneOrCombo,NatHawAloneOrCombo,Hispanic,TotPopBornOutUS,FB2010Plus,FB2000Plus,FBNotCit2010Plus,FBNotCit2000Plus,TotPopBornOutUS_IncNative,FB2010Plus_IncNative,FB2000Plus_IncNative,HH_SingleParent,TotHH,Owner_TOTAL,Renter_TOTAL,HHer15to34,HHer35to54,HHer55to64,HHer65plus,TotPopinHHs,HH_Crowded,HH_Owner_Crowded,HH_Renter_Crowded,Units_TOTAL,Units_2Plus,Units_10Plus,Moved2015later,Move10to14,Moved00to09,Moved90to99,Moved1989earlier,GroupQuarterACS18,NoInternet,Internet_NoSub,Internet,DialUpOnly,Broadband_Any,Cellular,CellularOnly,Broadband_CableFiberOpticDSL,Broadband_CableFiberOpticDSLOnly,Satellite,SatelliteOnly,OtherOnly,LEPHHs,LEPspanHHs,LEPindoeurHHs,LEPapacHHs,LEPotherHHs,Poverty_TOTAL,Poverty_Less100,Poverty_Less150,Poverty_Less200
01001,Autauga County,01, Alabama,0.822245041,0,0,0,55200,3263,43367,10962,464,895,115,1528,1114,218,458,200,336,1815,307,635,2050,21115,15814,5301,4051,7764,4159,5141,54654,299,219,80,23315,1854,886,3107,5647,6391,3074,2896,546,4018,398,16699,48,16651,12631,2331,13086,3425,1509,478,13,138,44,9,85,0,54765,8422,13107,17243
01003,Baldwin County,01, Alabama,0.800858839,1,3565,3546,208107,11609,182689,20311,3185,2824,79,9353,7170,1417,4292,1343,3056,9232,1740,4786,5733,78622,57881,20741,10303,27172,15724,25423,205093,991,609,382,111945,27505,20492,14273,23929,23031,9819,7570,3014,13235,3510,61877,453,61424,48549,12560,45004,11117,6794,1026,53,1120,831,122,167,0,204929,21653,37892,57843
01005,Barbour County,01, Alabama,0.754998266,2,7382,5851,25782,1390,12461,12492,301,155,1,1106,646,62,414,55,302,718,65,426,1489,9186,5640,3546,1641,2861,1816,2868,22882,313,192,121,11937,1611,152,1413,2244,2193,1709,1627,2900,3133,437,5616,68,5548,4015,1351,3568,1171,891,241,21,135,87,16,32,0,22856,6597,9298,12073
01007,Bibb County,01, Alabama,0.702543143,2,14040,11993,22527,1275,17447,5117,90,51,0,547,325,62,115,62,115,444,102,164,559,6840,5135,1705,856,2429,1333,2222,20436,52,35,17,9161,551,222,722,1592,1792,1489,1245,2091,2000,314,4526,5,4521,3444,1688,2286,861,767,198,3,47,47,0,0,0,20468,2863,5345,7968
01009,Blount County,01, Alabama,0.831549969,0,0,0,57645,3485,55981,1124,714,292,53,5261,2513,301,1272,109,868,2768,322,1332,1766,20600,16197,4403,2741,7622,4209,6028,57102,339,284,55,24222,1198,211,2192,4588,7127,3605,3088,543,5634,678,14288,185,14103,9578,2523,10190,3832,1848,396,42,301,281,15,0,5,57082,8220,14525,20795
01011,Bullock County,01, Alabama,0.472273567,3,10352,9922,10352,596,2276,7893,122,56,0,51,96,7,7,0,0,159,38,38,827,3609,2726,883,539,1338,793,939,9922,0,0,0,4526,474,76,394,806,825,861,723,430,1153,295,2161,37,2124,1608,382,1515,398,249,71,0,38,31,7,0,0,9909,3110,4026,4767
01013,Butler County,01, Alabama,0.699475995,6,15251,15051,20025,1205,10709,9216,128,286,0,67,275,136,205,136,136,342,136,224,917,6708,4692,2016,858,2290,1486,2074,19703,119,63,56,10026,1232,134,737,1537,1879,1141,1414,322,2257,225,4226,57,4169,2590,896,2974,1301,491,129,0,30,13,0,17,0,19707,4640,7489,9473
01015,Calhoun County,01, Alabama,0.803565267,3,6595,4735,115098,6562,88030,25088,1382,1581,144,4203,3059,463,1418,387,930,4449,663,1962,6153,45033,31286,13747,8762,14742,9421,12108,111986,772,437,335,53682,6610,1990,7314,11804,11095,6507,8313,3112,9882,2087,33064,198,32866,23470,5543,24977,7965,3693,725,83,472,306,52,114,0,111981,20819,33683,46441
01017,Chambers County,01, Alabama,0.806790622,0,0,0,33826,1950,19830,13555,175,438,0,768,470,125,347,125,323,624,155,432,1654,13516,9159,4357,2093,4391,3004,4028,33314,404,49,355,16981,2251,679,1614,3675,3239,1886,3102,512,4165,290,9061,76,8985,6757,1683,6465,1924,1025,167,19,77,41,10,26,0,33274,5531,10416,14986
01019,Cherokee County,01, Alabama,0.790742527,1,3517,3517,25853,1204,24167,1336,377,59,32,398,205,15,87,0,59,245,15,87,709,10606,8374,2232,1226,3511,2269,3600,25579,155,87,68,16531,789,331,1339,2163,3394,2017,1693,274,2759,528,7319,48,7271,5374,1810,4609,1428,1204,319,5,79,67,12,0,0,25501,3827,7321,10793
01021,Chilton County,01, Alabama,0.804785629,0,0,0,43930,2767,37577,4753,515,236,17,3416,1970,238,1016,216,875,2274,277,1055,2126,16751,12538,4213,2852,5975,3433,4491,43527,453,240,213,19586,1119,143,2166,4469,4968,2365,2783,403,5496,820,10435,78,10357,7028,2616,6519,2523,1636,516,16,316,316,0,0,0,43260,8034,13715,18053
01023,Choctaw County,01, Alabama,0.727237876,2,5594,5580,13075,671,7448,5606,32,16,0,73,65,5,8,5,5,92,5,8,702,5350,4263,1087,441,1849,1244,1816,12892,73,48,25,7344,260,82,497,1036,1425,1010,1382,183,1918,271,3161,43,3118,2010,534,2171,748,662,209,17,0,0,0,0,0,12875,2864,4369,6032
01025,Clarke County,01, Alabama,0.72513312,5,11017,10907,24387,1364,13066,11266,55,123,0,48,93,4,25,4,9,112,4,25,933,9358,6314,3044,1073,3217,2137,2931,24023,167,89,78,12741,1046,223,1040,1913,2388,1738,2279,364,3883,442,5033,56,4977,3444,1122,3043,1086,1140,298,0,23,0,6,17,0,23963,6088,8769,10858
