week,tractBottom20Rate,geoid,overallCountyRate,county_name,state_name,st_usps,num_tracts,t_totpopacs18,t_whitealoneorcombo,t_pct_whitealoneorcombo,t_blackaloneorcombo,t_pct_blackaloneorcombo,t_amerindaloneorcombo,t_pct_amerindaloneorcombo,t_asianaloneorcombo,t_pct_asianaloneorcombo,t_hispanic,t_pct_hispanic,t_totpopbornoutus,t_pct_totpopbornoutus,t_poverty_total,t_poverty_less100,t_pct_poverty_less100,c_totpopacs18,c_whitealoneorcombo,c_pct_whitealoneorcombo,c_blackaloneorcombo,c_pct_blackaloneorcombo,c_amerindaloneorcombo,c_pct_amerindaloneorcombo,c_asianaloneorcombo,c_pct_asianaloneorcombo,c_hispanic,c_pct_hispanic,c_totpopbornoutus,c_pct_totpopbornoutus,c_poverty_total,c_poverty_less100,c_pct_poverty_less100
Week 1,8.1,6037,13.2,Los Angeles,California,CA,593,2250128,1146279,51,239946,11,35037,2,199196,9,1462976,65,860250,38,2210659,540204,24,10098052,5498185,54.4,935091,9.3,165513,1.6,1636985,16.2,4893603,48.5,3456956,34.2,9947799,1589956,16
Week 1,8.1,48201,10,Harris,Texas,TX,427,1723168,1082353,63,358229,21,16197,1,105672,6,941300,55,539487,31,1706666,372862,22,4602523,2978447,64.7,916494,19.9,41821,0.9,357617,7.8,1958963,42.6,1199771,26.1,4556828,739100,16.2
Week 1,8.1,36047,8.8,Kings,New York,NY,392,1276996,401433,31,635713,50,9981,1,122391,10,287598,23,470007,37,1265489,283790,22,2600747,1189313,45.7,881388,33.9,20355,0.8,340756,13.1,499279,19.2,949026,36.5,2576152,544622,21.1
Week 1,8.1,17031,13.9,Cook,Illinois,IL,362,1212688,567686,47,425350,35,8956,1,52765,4,383909,32,228743,19,1193890,260103,22,5223719,3066917,58.7,1281067,24.5,40293,0.8,427441,8.2,1314232,25.2,1099659,21.1,5138012,778020,15.1
Week 1,8.1,36081,10.1,Queens,New York,NY,325,1004568,277713,28,329975,33,11231,1,220516,22,315225,31,489000,49,992201,141615,14,2298513,947402,41.2,451926,19.7,22354,1,614581,26.7,643563,28,1087233,47.3,2272240,295165,13
Week 1,8.1,4013,16.3,Maricopa,Arizona,AZ,180,695801,578059,83,40165,6,20510,3,39015,6,177547,26,95807,14,678473,90640,13,4253913,3434157,80.7,289587,6.8,122387,2.9,224419,5.3,1311091,30.8,632945,14.9,4198378,618496,14.7
Week 1,8.1,12086,12.3,Miami-Dade,Florida,FL,157,609703,383268,63,190953,31,2328,0,10353,2,349455,57,310435,51,599043,142886,24,2715516,2077025,76.5,503770,18.6,9859,0.4,53020,2,1845646,68,1446122,53.3,2676124,482656,18
Week 1,8.1,36005,9.2,Bronx,New York,NY,155,634022,111127,18,275545,43,9315,1,21686,3,347698,55,236960,37,625199,195075,31,1437872,337743,23.5,523752,36.4,19653,1.4,62261,4.3,803636,55.9,509024,35.4,1402787,407528,29.1
Week 1,8.1,48215,5.8,Hidalgo,Texas,TX,152,652951,585766,90,4154,1,2033,0,5404,1,610651,94,184175,28,643938,212479,33,849389,757190,89.1,5788,0.7,2854,0.3,9375,1.1,781681,92,230582,27.1,839124,261968,31.2
Week 1,8.1,53033,15.1,King,Washington,WA,147,680970,534324,78,28081,4,10394,2,125333,18,48698,7,130824,19,675474,38827,6,2163257,1523650,70.4,177879,8.2,44850,2.1,440018,20.3,206735,9.6,486821,22.5,2133784,203702,9.5
Week 1,8.1,48113,12.4,Dallas,Texas,TX,145,560777,315390,56,178271,32,5234,1,30082,5,260139,46,161986,29,547308,140309,26,2586552,1650110,63.8,612756,23.7,29772,1.2,177225,6.9,1033000,39.9,628703,24.3,2556383,423899,16.6
Week 1,8.1,6073,15.5,San Diego,California,CA,136,625810,497663,80,30645,5,10875,2,71511,11,198158,32,132521,21,590673,69152,12,3302833,2481612,75.1,210734,6.4,51303,1.6,475810,14.4,1106925,33.5,774365,23.4,3221497,403190,12.5
Week 1,8.1,36103,12.3,Suffolk,New York,NY,133,458924,400524,87,27198,6,3226,1,20390,4,69128,15,62506,14,445491,25809,6,1487901,1228921,82.6,131974,8.9,14844,1,67638,4.5,281315,18.9,230963,15.5,1459856,103887,7.1
Week 1,8.1,34013,9.9,Essex,New Jersey,NJ,131,471309,173612,37,224936,48,2681,1,19374,4,116913,25,131758,28,461155,94847,21,793555,349606,44.1,327124,41.2,5027,0.6,47036,5.9,180241,22.7,209992,26.5,774125,127250,16.4
Week 1,8.1,12031,7.8,Duval,Florida,FL,129,565263,404269,72,127324,23,5524,1,35672,6,56251,10,65380,12,551598,65072,12,924229,583990,63.2,289351,31.3,8715,0.9,54642,5.9,86184,9.3,99917,10.8,903209,139758,15.5
Week 1,8.1,48453,10.7,Travis,Texas,TX,126,525809,398146,76,48766,9,7517,1,38685,7,188709,36,94467,18,520434,67794,13,1203166,920725,76.5,114759,9.5,17982,1.5,94684,7.9,407676,33.9,212879,17.7,1179259,154741,13.1
Week 1,8.1,6071,12.1,San Bernardino,California,CA,124,481799,327924,68,43142,9,9242,2,31715,7,240122,50,93915,19,466600,91848,20,2135413,1386028,64.9,214078,10,44207,2.1,180676,8.5,1127813,52.8,448196,21,2075424,359080,17.3
Week 1,8.1,13121,10.7,Fulton,Georgia,GA,122,384343,175596,46,171313,45,3573,1,36875,10,26438,7,53616,14,369191,58027,16,1021902,476623,46.6,463415,45.3,9262,0.9,79146,7.7,74328,7.3,130079,12.7,989542,149412,15.1
Week 1,8.1,42101,11.6,Philadelphia,Pennsylvania,PA,114,434996,77276,18,317023,73,5896,1,17150,4,64745,15,35604,8,418773,159808,38,1575522,682936,43.3,695886,44.2,17320,1.1,125462,8,227711,14.5,218489,13.9,1532157,380873,24.9
Week 1,8.1,36059,12.3,Nassau,New York,NY,113,539972,406284,75,54038,10,4102,1,49788,9,78442,15,105609,20,536986,26704,5,1356564,962498,71,177950,13.1,13075,1,139373,10.3,225581,16.6,301379,22.2,1337372,76461,5.7
Week 1,8.1,26163,13.8,Wayne,Michigan,MI,106,231860,98611,43,117757,51,2358,1,9093,4,27196,12,22304,10,226858,68925,30,1761382,972724,55.2,706320,40.1,18420,1,69222,3.9,103202,5.9,157293,8.9,1740233,401149,23.1
Week 1,8.1,6065,13.6,Riverside,California,CA,101,446138,249566,56,28309,6,6341,1,24924,6,267849,60,115320,26,442658,81156,18,2383286,1537219,64.5,183587,7.7,43626,1.8,190468,8,1154517,48.4,516238,21.7,2347408,345724,14.7
Week 1,8.1,48061,5.2,Cameron,Texas,TX,92,339913,324543,95,2026,1,1411,0,2812,1,303818,89,82070,24,336719,101770,30,421750,401467,95.2,2846,0.7,1782,0.4,3476,0.8,377439,89.5,99251,23.5,417698,127760,30.6
Week 1,8.1,48029,11.7,Bexar,Texas,TX,86,409795,336168,82,36039,9,6878,2,18156,4,214735,52,53558,13,395753,62015,16,1925865,1588572,82.5,169688,8.8,27702,1.4,71985,3.7,1155505,60,256010,13.3,1892392,307665,16.3
Week 1,8.1,25017,15.8,Middlesex,Massachusetts,MA,80,384150,333747,87,12604,3,1640,0,37580,10,16688,4,53680,14,379146,17126,5,1595192,1274063,79.9,102883,6.4,8865,0.6,207109,13,125533,7.9,335572,21,1539582,122070,7.9
Week 2,22.6,6037,26.1,Los Angeles,California,CA,904,3387828,1723520,51,320803,9,56497,2,308856,9,2292928,68,1343611,40,3323544,810235,24,10098052,5498185,54.4,935091,9.3,165513,1.6,1636985,16.2,4893603,48.5,3456956,34.2,9947799,1589956,16
Week 2,22.6,36047,19.6,Kings,New York,NY,603,1986485,846864,43,710519,36,15315,1,268423,14,398430,20,750498,38,1971273,426768,22,2600747,1189313,45.7,881388,33.9,20355,0.8,340756,13.1,499279,19.2,949026,36.5,2576152,544622,21.1
Week 2,22.6,36081,20.1,Queens,New York,NY,519,1670362,595343,36,399316,24,17019,1,423236,25,516460,31,818943,49,1650560,229535,14,2298513,947402,41.2,451926,19.7,22354,1,614581,26.7,643563,28,1087233,47.3,2272240,295165,13
Week 2,22.6,48201,25.5,Harris,Texas,TX,390,1417923,942536,66,222268,16,13963,1,83874,6,880241,62,495351,35,1397311,349393,25,4602523,2978447,64.7,916494,19.9,41821,0.9,357617,7.8,1958963,42.6,1199771,26.1,4556828,739100,16.2
