geoid,geo_id_acs12,tot_pop_acs12,nh_white_acs12,nh_black_acs12,nh_aian_acs12,nh_asian_acs12,nh_haw_pi_acs12,nh_other_acs12,nh_two_plus_acs12,hispanic_acs12,geo_id_acs19,tot_pop_acs19,nh_white_acs19,nh_black_acs19,nh_aian_acs19,nh_asian_acs19,nh_haw_pi_acs19,nh_other_acs19,nh_two_plus_acs19,hispanic_acs19,interp_flag,tot_pop_change,nh_white_change,nh_black_change,nh_aian_change,nh_asian_change,nh_haw_pi_change,nh_other_change,nh_two_plus_change,hispanic_change,pct_tot_pop_change,pct_nh_white_change,pct_nh_black_change,pct_nh_aian_change,pct_nh_asian_change,pct_nh_haw_pi_change,pct_nh_other_change,pct_nh_two_plus_change,pct_hispanic_change,tot_pop_inc,nh_white_inc,nh_black_inc,nh_aian_inc,nh_asian_inc,nh_haw_pi_inc,nh_other_inc,nh_two_plus_inc,hispanic_inc
4203,5001300US4203,709524,207586,423123,1198,36931,281,2321,12249,25835,5001600US4203,722876,219093,405284,1684,42563,292,2001,17733,34226,1,13352,11507,-17839,486,5632,11,-320,5484,8391,1.8818,5.5432,-4.216,40.5676,15.2501,3.9146,-13.7872,44.771,32.4792,1,1,,1,1,1,,1,1
1711,5001300US1711,712183,386546,76536,497,49099,94,2461,13787,183163,5001600US1711,723342,367942,78869,733,57459,144,961,15741,201493,,11159,-18604,2333,236,8360,50,-1500,1954,18330,1.5669,-4.8129,3.0482,47.4849,17.0268,53.1915,-60.9508,14.1728,10.0075,1,,1,1,1,1,,1,1
3913,5001300US3913,723906,597239,82835,899,8101,46,740,14654,19392,5001600US3913,708540,568887,81439,1102,13362,108,680,19335,23627,,-15366,-28352,-1396,203,5261,62,-60,4681,4235,-2.1227,-4.7472,-1.6853,22.5806,64.9426,134.7826,-8.1081,31.9435,21.8389,,,,1,1,1,,1,1
2701,5001300US2701,662736,585327,14780,1234,14521,165,557,9046,37106,5001600US2701,675187,575875,22342,1709,18693,446,532,11438,44152,,12451,-9452,7562,475,4172,281,-25,2392,7046,1.8787,-1.6148,51.1637,38.4927,28.7308,170.303,-4.4883,26.4426,18.9888,1,,1,1,1,1,,1,1
1801,5001300US1801,719777,459472,139740,1643,8876,140,1127,9516,99263,5001600US1801,714677,447195,130288,1386,9453,231,1018,13143,111963,,-5100,-12277,-9452,-257,577,91,-109,3627,12700,-0.7086,-2.672,-6.764,-15.6421,6.5007,65,-9.6717,38.1148,12.7943,,,,,1,1,,1,1
3409,5001300US3409,733527,312055,72518,651,86625,136,3331,8424,249787,5001600US3409,752451,283332,68270,739,99894,151,2795,10443,286827,,18924,-28723,-4248,88,13269,15,-536,2019,37040,2.5799,-9.2045,-5.8579,13.5177,15.3177,11.0294,-16.0913,23.9672,14.8286,1,,,1,1,1,,1,1
651,5001300US0651,696599,100555,49465,2936,55676,2019,487,10881,474580,5001600US0651,731761,95207,45379,2321,56218,2750,432,11023,518431,,35162,-5348,-4086,-615,542,731,-55,142,43851,5.0477,-5.3185,-8.2604,-20.9469,0.9735,36.206,-11.2936,1.305,9.24,1,,,,1,1,,1,1
1314,5001300US1314,690055,543071,58213,1702,5672,81,1545,8298,71473,5001600US1314,717132,545344,62900,1516,6731,170,1373,15125,83973,,27077,2273,4687,-186,1059,89,-172,6827,12500,3.9239,0.4185,8.0515,-10.9283,18.6707,109.8765,-11.1327,82.2728,17.4891,1,1,1,,1,1,,1,1
3615,5001300US3615,713763,15998,202173,1565,11653,21,4422,5280,472651,5001600US3615,744473,19302,207897,1591,13289,273,3284,6518,492319,,30710,3304,5724,26,1636,252,-1138,1238,19668,4.3025,20.6526,2.8312,1.6613,14.0393,1200,-25.735,23.447,4.1612,1,1,1,1,1,1,,1,1
3301,5001300US3301,659340,608551,9055,874,13353,43,856,8965,17643,5001600US3301,680153,613811,10173,650,17183,180,651,12538,24967,,20813,5260,1118,-224,3830,137,-205,3573,7324,3.1566,0.8643,12.3468,-25.6293,28.6827,318.6047,-23.9486,39.855,41.5122,1,1,1,,1,1,,1,1
3906,5001300US3906,720406,683330,16241,797,2552,63,504,10169,6750,5001600US3906,696108,656324,15084,1027,3087,97,560,11736,8193,,-24298,-27006,-1157,230,535,34,56,1567,1443,-3.3728,-3.9521,-7.1239,28.8582,20.9639,53.9683,11.1111,15.4096,21.3778,,,,1,1,1,1,1,1
1707,5001300US1707,709077,186402,379481,643,41427,184,1836,8468,90636,5001600US1707,720978,210811,326817,673,52528,115,1659,13022,115353,,11901,24409,-52664,30,11101,-69,-177,4554,24717,1.6784,13.0948,-13.8779,4.6656,26.7965,-37.5,-9.6405,53.7789,27.2706,1,1,,1,1,,,1,1
5103,5001300US5103,732287,319252,337587,1967,17252,504,1428,18559,35738,5001600US5103,739947,305406,336234,2009,19149,783,2216,26538,47612,1,7660,-13846,-1353,42,1897,279,788,7979,11874,1.046,-4.337,-0.4008,2.1352,10.9958,55.3571,55.1821,42.9926,33.2251,1,,,1,1,1,1,1,1
2508,5001300US2508,730990,569074,61198,752,46714,27,6184,12399,34642,5001600US2508,767105,553122,76628,1177,62735,218,13272,15034,44919,,36115,-15952,15430,425,16021,191,7088,2635,10277,4.9406,-2.8032,25.2132,56.516,34.2959,707.4074,114.6184,21.2517,29.6663,1,,1,1,1,1,1,1,1
2509,5001300US2509,727425,645972,18104,1516,9100,68,8053,13531,31081,5001600US2509,741094,636535,21229,1596,10426,142,13033,16602,41531,,13669,-9437,3125,80,1326,74,4980,3071,10450,1.8791,-1.4609,17.2614,5.277,14.5714,108.8235,61.8403,22.696,33.6218,1,,1,1,1,1,1,1,1
4818,5001300US4818,699151,118709,277986,786,25044,495,1333,5305,269493,5001600US4818,778625,125329,271885,899,30267,809,1784,8909,338743,,79474,6620,-6101,113,5223,314,451,3604,69250,11.3672,5.5767,-2.1947,14.3766,20.8553,63.4343,33.8335,67.9359,25.6964,1,1,,1,1,1,1,1,1
3709,5001300US3709,733007,451933,141169,58016,13834,175,1397,15161,51322,5001600US3709,783780,471273,147422,61206,22474,184,1610,16780,62831,1,50773,19340,6253,3190,8640,9,213,1619,11509,6.9267,4.2794,4.4294,5.4985,62.4548,5.1429,15.247,10.6787,22.4251,1,1,1,1,1,1,1,1,1
4101,5001300US4101,768652,568583,11174,4520,51603,2795,1203,23398,105376,5001600US4101,842952,594020,14537,3420,68206,3008,1146,34223,124392,,74300,25437,3363,-1100,16603,213,-57,10825,19016,9.6663,4.4738,30.0967,-24.3363,32.1745,7.6208,-4.7382,46.2646,18.0459,1,1,1,,1,1,,1,1
4105,5001300US4105,767256,593514,5859,6644,18383,3186,2093,20806,116771,5001600US4105,828319,618173,8106,7035,21455,4245,908,28644,139753,,61063,24659,2247,391,3072,1059,-1185,7838,22982,7.9586,4.1547,38.3513,5.885,16.7111,33.2392,-56.6173,37.6718,19.6813,1,1,1,1,1,1,,1,1
1808,5001300US1808,719681,658346,28545,1278,5533,103,546,10650,14680,5001600US1808,719002,647085,30804,960,7502,461,511,13503,18176,,-679,-11261,2259,-318,1969,358,-35,2853,3496,-0.0943,-1.7105,7.9138,-24.8826,35.5865,347.5728,-6.4103,26.7887,23.8147,,,1,,1,1,,1,1
4814,5001300US4814,698453,370694,141173,2047,19470,188,1259,8412,155210,5001600US4814,751606,378321,144638,1857,23128,261,766,11635,191000,,53153,7627,3465,-190,3658,73,-493,3223,35790,7.6101,2.0575,2.4544,-9.2819,18.7879,38.8298,-39.1581,38.3143,23.0591,1,1,1,,1,1,,1,1
4825,5001300US4825,707356,495598,51348,2637,17976,1838,868,11913,125178,5001600US4825,783085,529609,54693,2236,24787,2219,586,20631,148324,,75729,34011,3345,-401,6811,381,-282,8718,23146,10.7059,6.8626,6.5144,-15.2067,37.8894,20.7291,-32.4885,73.1806,18.4905,1,1,1,,1,1,,1,1
646,5001300US0646,704673,131299,11911,1340,80770,2096,931,7252,469074,5001600US0646,730435,124563,12742,1320,95751,2401,918,8753,483987,,25762,-6736,831,-20,14981,305,-13,1501,14913,3.6559,-5.1303,6.9767,-1.4925,18.5477,14.5515,-1.3963,20.6977,3.1792,1,,1,,1,1,,1,1
617,5001300US0617,706854,189413,18057,1585,346201,3458,2710,21573,123857,5001600US0617,779960,175070,18930,1704,428015,3639,1876,26546,124180,,73106,-14343,873,119,81814,181,-834,4973,323,10.3424,-7.5723,4.8347,7.5079,23.6319,5.2342,-30.7749,23.052,0.2608,1,,1,1,1,1,,1,1
