geoid,state_name,county_name,totpopacs18,totunder5,pct_totunder5,whitealoneorcombo,pct_whitealoneorcombo,blackaloneorcombo,pct_blackaloneorcombo,amerindaloneorcombo,pct_amerindaloneorcombo,asianaloneorcombo,pct_asianaloneorcombo,nathawaloneorcombo,pct_nathawaloneorcombo,hispanic,pct_hispanic,totpopbornoutus,pct_totpopbornoutus,hh_singleparent,pct_hh_singleparent,tothh,renter_total,pct_renter,hh_crowded,pct_hh_crowded,lephhs,pct_lephhs,poverty_total,poverty_less100,pct_pov_less100,bottom_Week 1,top_Week 1,bottom_Week 2,top_Week 2,bottom_Week 3,top_Week 3,bottom_Week 4,top_Week 4,bottom_Week 5,top_Week 5,bottom_Week 6,top_Week 6,bottom_Week 7,top_Week 7,bottom_Week 8,top_Week 8,bottom_Week 9,top_Week 9,rate_Week 1,rate_Week 2,rate_Week 3,rate_Week 4,rate_Week 5,rate_Week 6,rate_Week 7,rate_Week 8,rate_Week 9
1001,Alabama,Autauga County,55200,3263,5.9,43367,78.6,10962,19.9,464,0.8,895,1.6,115,0.2,1528,2.8,1114,2,2050,9.7,21115,5301,25.1,299,1.4,138,0.7,54765,8422,15.4,,1,,1,,1,,1,,1,,1,,1,,1,,1,18.6,37.8,51.1,55.5,58.3,60,63.5,65.6,66.5
1003,Alabama,Baldwin County,208107,11609,5.6,182689,87.8,20311,9.8,3185,1.5,2824,1.4,79,0,9353,4.5,7170,3.4,5733,7.3,78622,20741,26.4,991,1.3,1120,1.4,204929,21653,10.6,,,,,,,,,,,,,,,,,,,11.9,27,37.2,41.2,43.4,44.7,47.9,50.6,51.8
1005,Alabama,Barbour County,25782,1390,5.4,12461,48.3,12492,48.5,301,1.2,155,0.6,1,0,1106,4.3,646,2.5,1489,16.2,9186,3546,38.6,313,3.4,135,1.5,22856,6597,28.9,,,,,,,,,,,,,,,,,,,13.5,29.3,39,42.1,44.3,45.8,47.7,49.9,51.4
1007,Alabama,Bibb County,22527,1275,5.7,17447,77.4,5117,22.7,90,0.4,51,0.2,0,0,547,2.4,325,1.4,559,8.2,6840,1705,24.9,52,0.8,47,0.7,20468,2863,14,,,,,,,,,,,,,,,,,,,16.2,31.5,40.7,43.8,45.6,47.3,49,51.6,53.2
1009,Alabama,Blount County,57645,3485,6,55981,97.1,1124,1.9,714,1.2,292,0.5,53,0.1,5261,9.1,2513,4.4,1766,8.6,20600,4403,21.4,339,1.6,301,1.5,57082,8220,14.4,,,,,,,,,,,,,,,,,,,16.6,33.2,44,48.3,50.3,52.4,56.6,59.7,61.2
1011,Alabama,Bullock County,10352,596,5.8,2276,22,7893,76.2,122,1.2,56,0.5,0,0,51,0.5,96,0.9,827,22.9,3609,883,24.5,0,0,38,1.1,9909,3110,31.4,,,,,,,,,,,,,,,,,,,11.8,27.2,36.7,39.7,41,41.6,42.2,44,45.5
1013,Alabama,Butler County,20025,1205,6,10709,53.5,9216,46,128,0.6,286,1.4,0,0,67,0.3,275,1.4,917,13.7,6708,2016,30.1,119,1.8,30,0.4,19707,4640,23.5,,,,,,,,,,,,,,,,,,,16.5,31.7,42,45,46.7,48.2,49.5,51.7,53.4
1015,Alabama,Calhoun County,115098,6562,5.7,88030,76.5,25088,21.8,1382,1.2,1581,1.4,144,0.1,4203,3.7,3059,2.7,6153,13.7,45033,13747,30.5,772,1.7,472,1,111981,20819,18.6,,,,,,,,,,,,,,,,,,,16.7,33.2,44.2,48,50.6,52.6,55.9,58.3,59.7
1017,Alabama,Chambers County,33826,1950,5.8,19830,58.6,13555,40.1,175,0.5,438,1.3,0,0,768,2.3,470,1.4,1654,12.2,13516,4357,32.2,404,3,77,0.6,33274,5531,16.6,,,,,,,,,,,,,,,,,,,16.2,31.8,41.5,44.8,46.4,47.8,49.9,52.3,53.9
1019,Alabama,Cherokee County,25853,1204,4.7,24167,93.5,1336,5.2,377,1.5,59,0.2,32,0.1,398,1.5,205,0.8,709,6.7,10606,2232,21,155,1.5,79,0.7,25501,3827,15,,,,,,,,,,,1,,1,,1,,1,,11.7,22.7,30.3,33,34.5,35.5,36.9,39,40.5
1021,Alabama,Chilton County,43930,2767,6.3,37577,85.5,4753,10.8,515,1.2,236,0.5,17,0,3416,7.8,1970,4.5,2126,12.7,16751,4213,25.2,453,2.7,316,1.9,43260,8034,18.6,,,,,,,,,,,,,,,,,,,17.4,32.6,42.9,46.5,48.9,50.5,52.8,55.4,57
1023,Alabama,Choctaw County,13075,671,5.1,7448,57,5606,42.9,32,0.2,16,0.1,0,0,73,0.6,65,0.5,702,13.1,5350,1087,20.3,73,1.4,0,0,12875,2864,22.2,,,,,,,,,,,,,,,,,,,15.5,31.3,39.4,42.3,43.8,44.6,45.4,48.3,49.2
1025,Alabama,Clarke County,24387,1364,5.6,13066,53.6,11266,46.2,55,0.2,123,0.5,0,0,48,0.2,93,0.4,933,10,9358,3044,32.5,167,1.8,23,0.2,23963,6088,25.4,,,,,,,,,,,,,,,,,,,13.6,30.5,39.4,42.4,44.1,45.1,46.2,48.4,50
1027,Alabama,Clay County,13378,670,5,11198,83.7,2038,15.2,187,1.4,18,0.1,0,0,415,3.1,261,2,566,10.8,5236,1447,27.6,48,0.9,25,0.5,13040,2405,18.4,,,,,,,,,,,,,,,,,,,16.8,32.8,42,45.4,47.1,48,49.2,52.4,54.3
1029,Alabama,Cleburne County,14938,821,5.5,14359,96.1,619,4.1,101,0.7,24,0.2,0,0,362,2.4,225,1.5,348,6.1,5726,1394,24.3,49,0.9,19,0.3,14659,2719,18.5,,,,,,,,,,,,,,,,,,,15.4,30.2,40,43.5,45.2,47.5,48.5,51.5,53.6
