geoid,GEO_ID_ACS12,TotPopACS12,WhiteAloneOrCombo_ACS12,BlackAloneOrCombo_ACS12,AmerIndAloneorCombo_ACS12,AsianAloneOrCombo_ACS12,NatHawAloneOrCombo_ACS12,Hispanic_ACS12,TotPopBornOutUS_ACS12,FB2010Plus_ACS12,FB2000Plus_ACS12,FBNotCit2010Plus_ACS12,FBNotCit2000Plus_ACS12,TotPopBornOutUS_IncNative_ACS12,FB2010Plus_IncNative_ACS12,FB2000Plus_IncNative_ACS12,TotHH_ACS12,Owner_TOTAL_ACS12,Renter_TOTAL_ACS12,TotPopinHHs_ACS12,GEO_ID_ACS19,TotPopACS19,WhiteAloneOrCombo_ACS19,BlackAloneOrCombo_ACS19,AmerIndAloneorCombo_ACS19,AsianAloneOrCombo_ACS19,NatHawAloneOrCombo_ACS19,Hispanic_ACS19,TotPopBornOutUS_ACS19,FB2010Plus_ACS19,FB2000Plus_ACS19,FBNotCit2010Plus_ACS19,FBNotCit2000Plus_ACS19,TotPopBornOutUS_IncNative_ACS19,FB2010Plus_IncNative_ACS19,FB2000Plus_IncNative_ACS19,TotHH_ACS19,Owner_TOTAL_ACS19,Renter_TOTAL_ACS19,TotPopinHHs_ACS19
0101,5001300US0101,682756,470466,192731,11628,11296,221,18998,20996,1020,10236,980,9245,25066,1095,10811,261904,183721,78183,667874,5001600US0101,710135.0,488232.0,200587.0,13045.0,12872.0,440.0,22916.0,21714.0,5337.0,12179.0,4993.0,8371.0,27108.0,6438.0,13971.0,267433.0,183030.0,84403.0,695842.0
0102,5001300US0102,681707,461548,207323,7789,9987,491,23984,20935,1338,10513,1332,9475,28713,1465,11945,261082,177934,83148,660777,5001600US0102,679684.0,446197.0,220510.0,7590.0,11574.0,772.0,25465.0,19493.0,6006.0,11196.0,5466.0,9088.0,27391.0,7613.0,13836.0,258520.0,170918.0,87602.0,660024.0
0103,5001300US0103,682018,492970,177708,6159,9087,567,18044,17656,896,9931,871,8754,23818,924,10940,265107,186088,79019,662192,5001600US0103,708888.0,503403.0,189010.0,6299.0,16257.0,683.0,22159.0,22474.0,7453.0,14179.0,6581.0,11272.0,29769.0,8700.0,16621.0,272967.0,190215.0,82752.0,688565.0
0104,5001300US0104,681718,617405,50696,11753,4871,323,38556,24592,494,12719,492,11539,27334,607,13150,263308,195585,67723,672386,5001600US0104,684757.0,610715.0,53145.0,12407.0,5372.0,939.0,45282.0,25790.0,4724.0,15338.0,4297.0,12660.0,29650.0,5427.0,16326.0,259624.0,192449.0,67175.0,676907.0
0105,5001300US0105,682973,541071,122523,11622,13601,885,31787,30911,1016,14534,974,12400,39057,1148,15688,267925,192021,75904,667491,5001600US0105,720362.0,561321.0,135400.0,12041.0,16773.0,1442.0,37585.0,31424.0,6655.0,16981.0,5467.0,12612.0,41403.0,8399.0,20462.0,285320.0,199162.0,86158.0,703814.0
0106,5001300US0106,679872,560448,93543,4626,12772,181,33302,34502,1284,17848,1268,15851,38879,1387,18519,259353,199050,60303,669225,5001600US0106,704770.0,563366.0,116323.0,5595.0,15809.0,435.0,34107.0,32592.0,6736.0,18244.0,6004.0,14039.0,37993.0,7302.0,19457.0,267178.0,201673.0,65505.0,693234.0
0107,5001300US0107,686282,235327,441216,3642,4898,233,17597,17142,820,10996,820,9915,20414,851,11464,258897,154925,103972,662383,5001600US0107,667654.0,229132.0,426001.0,4191.0,7833.0,532.0,21112.0,19460.0,6788.0,13399.0,6390.0,11343.0,22641.0,7315.0,14392.0,256851.0,147301.0,109550.0,640087.0
0200,5001300US0200,711139,527814,34752,137862,49781,10758,40371,49341,1674,17637,1646,13892,64484,1872,22123,252991,162891,90100,684891,5001600US0200,737068.0,530565.0,35935.0,147196.0,61128.0,14450.0,51870.0,57667.0,14713.0,29326.0,11906.0,18352.0,75066.0,19266.0,36841.0,253346.0,162996.0,90350.0,709974.0
0401,5001300US0401,705730,470082,20657,175688,15327,3274,143180,45150,1604,13392,1576,11708,51149,1684,14282,238404,169767,68637,678465,5001600US0401,762575.0,520886.0,25644.0,189565.0,18821.0,3815.0,176100.0,47540.0,9172.0,20054.0,8230.0,15052.0,54665.0,10122.0,22580.0,255877.0,181447.0,74430.0,727286.0
0402,5001300US0402,710822,614517,35234,15598,27382,3263,182432,77124,2469,26241,2300,22745,90475,2726,28626,295802,186229,109573,691659,5001600US0402,724083.0,617076.0,40084.0,20441.0,33204.0,3637.0,208669.0,79897.0,16694.0,34124.0,14949.0,24852.0,95473.0,19503.0,39852.0,303931.0,190438.0,113493.0,702379.0
0403,5001300US0403,708477,527541,39401,36996,15547,1938,432705,147507,3060,37828,2908,33165,156480,3262,40069,221102,141557,79545,684081,5001600US0403,776579.0,564396.0,46614.0,51759.0,20589.0,2501.0,487104.0,164383.0,24000.0,62748.0,20934.0,47190.0,175926.0,26457.0,67443.0,243722.0,152589.0,91133.0,749583.0
0404,5001300US0404,707613,634904,16118,22944,11811,2453,131613,60024,3131,19124,3119,17545,66962,3218,20464,278558,206046,72512,679618,5001600US0404,786254.0,715829.0,20731.0,24495.0,15521.0,3283.0,152213.0,58651.0,11330.0,21690.0,10550.0,17164.0,67108.0,12209.0,24295.0,311658.0,231742.0,79916.0,759031.0
0405,5001300US0405,718136,625384,28215,12576,37211,3079,121454,66430,2321,21809,2259,18864,75029,2440,23457,259148,191768,67380,715373,5001600US0405,820915.0,712938.0,38858.0,14435.0,51072.0,3689.0,151458.0,82075.0,15555.0,36951.0,13881.0,25747.0,94626.0,17668.0,41477.0,287796.0,212363.0,75433.0,817394.0
0406,5001300US0406,719820,636372,22319,15949,33749,2039,107132,95565,2735,35606,2575,30740,103622,2997,37288,294519,197428,97091,715216,5001600US0406,792368.0,688621.0,31767.0,19754.0,51872.0,2406.0,137355.0,111169.0,24698.0,50764.0,22085.0,38547.0,121255.0,26028.0,53895.0,325134.0,211815.0,113319.0,787413.0
0407,5001300US0407,711515,518388,69372,22654,19016,2984,458691,202727,3628,70743,3519,66055,208723,3772,72422,216484,105966,110518,699140,5001600US0407,811872.0,554952.0,94546.0,31401.0,25725.0,3910.0,519399.0,203349.0,30430.0,86112.0,27611.0,72139.0,214729.0,33561.0,91348.0,242741.0,111763.0,130978.0,800346.0
0408,5001300US0408,711211,621042,37384,12245,26766,2292,134886,65539,1375,17905,1326,14176,74228,1415,19476,265390,197314,68076,701253,5001600US0408,790494.0,683051.0,46684.0,13408.0,41100.0,3855.0,161440.0,77790.0,14038.0,31345.0,11670.0,19374.0,89378.0,15565.0,35521.0,288901.0,214392.0,74509.0,778536.0
0409,5001300US0409,717655,592917,45035,25372,41148,3198,190853,108753,3717,44454,3590,40965,117938,3858,46992,287751,148644,139107,704150,5001600US0409,785159.0,613306.0,60338.0,33893.0,52823.0,5243.0,214925.0,115797.0,30273.0,61186.0,28217.0,49173.0,128425.0,32778.0,65813.0,311508.0,150207.0,161301.0,770207.0
0501,5001300US0501,727553,583627,137094,7339,3986,707,20350,12794,757,6017,679,5545,16150,799,6489,281274,189057,92217,701100,5001600US0501,721413.0,579274.0,132355.0,14971.0,5664.0,774.0,25164.0,13368.0,3470.0,7205.0,3228.0,5804.0,17355.0,4104.0,8361.0,283327.0,185414.0,97913.0,693407.0
0502,5001300US0502,730259,549655,162537,8797,12984,418,34476,29080,757,14465,751,12806,35241,963,16034,288063,188880,99183,712518,5001600US0502,762623.0,559167.0,183151.0,9098.0,16422.0,1116.0,39982.0,32445.0,8189.0,19755.0,7371.0,14697.0,38741.0,8820.0,21045.0,294546.0,188074.0,106472.0,745370.0
0503,5001300US0503,730606,645068,25004,20299,20529,5482,92883,64386,3183,26015,3159,23801,70019,3371,27498,277423,181194,96229,715037,5001600US0503,807399.0,696820.0,31156.0,22651.0,29716.0,8456.0,116583.0,76652.0,17836.0,40059.0,16580.0,33510.0,84838.0,20440.0,44065.0,304827.0,190679.0,114148.0,789837.0
0504,5001300US0504,727954,559341,146934,10898,5266,366,37530,22889,392,9416,377,8661,26158,465,9922,282037,199683,82354,707438,5001600US0504,707935.0,539166.0,142530.0,12400.0,6093.0,1119.0,42401.0,22582.0,3276.0,10656.0,2901.0,8572.0,26029.0,3872.0,11826.0,275371.0,195288.0,80083.0,686405.0
0601,5001300US0601,702954,636697,15544,30107,24510,3434,85368,46206,1036,12133,1018,10537,51768,1107,13002,275050,179948,95102,678143,5001600US0601,706834.0,638543.0,17403.0,30375.0,28709.0,4018.0,98301.0,43601.0,5361.0,14748.0,4659.0,10565.0,50566.0,6419.0,16679.0,276924.0,180625.0,96299.0,682603.0
0602,5001300US0602,701649,596804,17240,27708,34528,3101,114618,93931,2060,27822,2033,24827,102435,2289,29480,278712,174113,104599,678421,5001600US0602,716090.0,605719.0,18388.0,31078.0,41210.0,4450.0,126384.0,93219.0,13744.0,36592.0,12772.0,30194.0,103507.0,15936.0,40036.0,284622.0,179124.0,105498.0,696589.0
0603,5001300US0603,701960,492350,54832,19769,89340,6988,192974,125083,3037,39451,2898,32464,137529,3348,42394,236838,144234,92604,672045,5001600US0603,742328.0,539553.0,59920.0,21544.0,104887.0,8616.0,223709.0,140658.0,22405.0,59660.0,19657.0,41538.0,154164.0,24534.0,64420.0,250783.0,148399.0,102384.0,720141.0
0604,5001300US0604,701079,628604,12779,19164,37875,2780,85275,59058,1019,16366,999,13792,66520,1099,17363,267235,195588,71647,687076,5001600US0604,741894.0,659701.0,16457.0,19393.0,53629.0,4696.0,100871.0,70229.0,9822.0,25440.0,8013.0,15591.0,79174.0,10926.0,27795.0,280017.0,206542.0,73475.0,728215.0
0605,5001300US0605,705490,519413,53921,16808,88907,6848,182781,147995,2588,43688,2469,38290,158600,2793,45791,258173,156973,101200,689286,5001600US0605,727130.0,491740.0,57655.0,17516.0,98702.0,7913.0,205635.0,149593.0,17729.0,55579.0,15236.0,39636.0,161497.0,19329.0,59121.0,264703.0,161278.0,103425.0,714442.0
0606,5001300US0606,704271,413968,108855,20775,127657,14619,186529,157559,2785,51647,2446,42137,166844,2887,53688,259909,128588,131321,694218,5001600US0606,760831.0,434089.0,118595.0,17631.0,144602.0,17291.0,215673.0,177377.0,33959.0,81490.0,29969.0,54602.0,188976.0,36134.0,85944.0,274055.0,129967.0,144088.0,750313.0
0607,5001300US0607,704963,495390,66391,15121,114789,10279,117013,125347,2572,36217,2450,28146,134932,2792,38076,251451,163257,88194,690298,5001600US0607,751400.0,518178.0,73514.0,16937.0,148571.0,11767.0,133292.0,144428.0,26940.0,62102.0,23486.0,38832.0,155314.0,28058.0,65094.0,267499.0,172609.0,94890.0,739739.0
0608,5001300US0608,694261,528047,66060,17732,27227,5212,243479,86428,1004,16190,935,13804,97778,1232,18399,223013,144736,78277,676820,5001600US0608,724105.0,579848.0,71331.0,18919.0,32877.0,5580.0,303083.0,100451.0,9378.0,28199.0,8107.0,20602.0,109418.0,10792.0,31175.0,231412.0,143661.0,87751.0,708471.0
0609,5001300US0609,705384,450060,75143,17461,114206,8501,262896,158228,1730,41624,1630,34263,167110,1888,43479,220572,136628,83944,690571,5001600US0609,768191.0,488919.0,87155.0,48573.0,138433.0,9058.0,297904.0,171060.0,22494.0,64825.0,19179.0,46208.0,180901.0,24532.0,69291.0,237323.0,143120.0,94203.0,753070.0
0610,5001300US0610,702159,554185,29742,17105,58682,9168,282745,141755,2482,38353,2435,33299,153565,2696,40889,223302,135561,87741,692708,5001600US0610,751622.0,588772.0,33186.0,17694.0,69917.0,10943.0,330545.0,153146.0,20495.0,53296.0,17937.0,38842.0,161444.0,22398.0,56601.0,237252.0,140825.0,96427.0,743043.0
0611,5001300US0611,707047,491931,74371,8457,105703,7315,177855,173180,3605,53929,3437,46513,182713,3938,55927,258171,166169,92002,698073,5001600US0611,761070.0,482244.0,75208.0,13038.0,136816.0,7398.0,206405.0,202013.0,36819.0,89616.0,32764.0,66784.0,214368.0,39505.0,95358.0,270672.0,170509.0,100163.0,752759.0
0612,5001300US0612,701973,393044,49832,8879,240003,5429,101068,243001,7691,72361,7381,58381,256420,8022,75466,307873,105222,202651,685627,5001600US0612,762627.0,406921.0,50020.0,8603.0,273636.0,6352.0,112447.0,251423.0,49248.0,103244.0,44361.0,71878.0,268203.0,52537.0,109765.0,328131.0,114942.0,213189.0,745852.0
0613,5001300US0613,705794,353635,151166,13671,163793,7549,148850,190774,5607,65860,5427,56337,202278,6056,68750,276174,122955,153219,686349,5001600US0613,759834.0,360542.0,148730.0,15489.0,185794.0,8987.0,168356.0,204321.0,42953.0,94358.0,38889.0,69315.0,218016.0,45234.0,99650.0,287954.0,127292.0,160662.0,738519.0
0614,5001300US0614,706678,394993,30041,8447,237578,13759,170321,262862,5161,70084,4946,57932,274166,5394,72654,246328,145975,100353,696705,5001600US0614,753409.0,368671.0,29563.0,8417.0,288299.0,15482.0,176892.0,283935.0,49787.0,113584.0,44088.0,80304.0,298058.0,52612.0,119306.0,254413.0,151749.0,102664.0,742346.0
0615,5001300US0615,703976,382868,53836,10945,219593,11984,161225,219433,3644,62451,3441,50581,229783,3836,64933,231681,149596,82085,693776,5001600US0615,779710.0,376682.0,52683.0,9814.0,300022.0,15548.0,172704.0,270541.0,55321.0,127222.0,50277.0,88905.0,282583.0,57916.0,131872.0,253902.0,163071.0,90831.0,770564.0
0616,5001300US0616,703214,438597,48475,14960,71191,3094,406583,177316,2318,50383,2242,46131,182633,2405,51548,199639,98856,100783,684072,5001600US0616,731650.0,445842.0,49628.0,16704.0,73068.0,3154.0,450078.0,177911.0,18732.0,63597.0,16505.0,50708.0,183780.0,20048.0,65966.0,212241.0,102256.0,109985.0,710564.0
0617,5001300US0617,706854,272432,24635,7111,366387,6432,123857,319470,11814,119747,11620,101635,328398,12044,122180,237971,133667,104304,697025,5001600US0617,779960.0,252219.0,24660.0,7912.0,454163.0,7464.0,124180.0,384123.0,117508.0,210239.0,110437.0,163513.0,395146.0,120196.0,215116.0,260578.0,139485.0,121093.0,768775.0
0618,5001300US0618,712054,513279,19549,7845,157965,3617,121872,193387,6853,63283,6731,55681,203482,7058,65254,268833,164609,104224,697280,5001600US0618,741968.0,500107.0,20603.0,8698.0,202223.0,4264.0,120859.0,224347.0,55943.0,110018.0,52271.0,84005.0,236267.0,58507.0,114675.0,269652.0,163173.0,106479.0,724988.0
0619,5001300US0619,700349,384002,25737,11398,197261,6130,289444,248775,4385,69518,4053,57688,256629,4510,71333,213561,129913,83648,689609,5001600US0619,758819.0,368455.0,29992.0,14207.0,240494.0,7511.0,302050.0,270236.0,41034.0,102097.0,35015.0,69458.0,283108.0,43525.0,107203.0,229664.0,137219.0,92445.0,746184.0
0620,5001300US0620,702797,560429,21201,13485,49113,4782,355104,187902,3287,58301,3156,53307,196619,3474,60120,220636,116573,104063,674093,5001600US0620,737426.0,484818.0,22123.0,13834.0,53665.0,6159.0,392988.0,190984.0,22722.0,76393.0,20462.0,66184.0,202818.0,25379.0,81018.0,227116.0,121535.0,105581.0,707050.0
0621,5001300US0621,698936,488917,37650,14318,29934,1643,496238,211666,2011,61545,1929,57898,217304,2073,62978,176799,89834,86965,651994,5001600US0621,713144.0,525250.0,32601.0,15234.0,28648.0,2596.0,533670.0,205659.0,24436.0,76491.0,22480.0,67024.0,212368.0,26093.0,79629.0,189187.0,96088.0,93099.0,674530.0
0622,5001300US0622,705465,538192,28338,14738,58503,2970,316143,127921,1220,33209,1183,29281,133122,1445,34042,228126,138232,89894,697555,5001600US0622,763702.0,565540.0,31778.0,16688.0,76091.0,3335.0,370006.0,136917.0,17669.0,47544.0,15097.0,35342.0,143622.0,18962.0,50100.0,247085.0,147151.0,99934.0,755819.0
