geoid,geo_id_acs12,tot_pop_acs12,nh_white_acs12,nh_black_acs12,nh_aian_acs12,nh_asian_acs12,nh_haw_pi_acs12,nh_other_acs12,nh_two_plus_acs12,hispanic_acs12,geo_id_acs19,tot_pop_acs19,nh_white_acs19,nh_black_acs19,nh_aian_acs19,nh_asian_acs19,nh_haw_pi_acs19,nh_other_acs19,nh_two_plus_acs19,hispanic_acs19,interp_flag,tot_pop_change,nh_white_change,nh_black_change,nh_aian_change,nh_asian_change,nh_haw_pi_change,nh_other_change,nh_two_plus_change,hispanic_change,pct_tot_pop_change,pct_nh_white_change,pct_nh_black_change,pct_nh_aian_change,pct_nh_asian_change,pct_nh_haw_pi_change,pct_nh_other_change,pct_nh_two_plus_change,pct_hispanic_change,tot_pop_inc,nh_white_inc,nh_black_inc,nh_aian_inc,nh_asian_inc,nh_haw_pi_inc,nh_other_inc,nh_two_plus_inc,hispanic_inc
45056,620L300US45056,37223,28084,5492,56,672,0,107,655,2157,620L600US45056,49453,37724,7645,246,809,0,117,430,2482,0,12230,9640,2153,190,137,0,10,-225,325,32.856,34.3256,39.2025,339.2857,20.3869,0,9.3458,-34.3511,15.0672,1,1,1,1,1,0,1,0,1
13152,620L300US13152,57085,39808,14358,55,874,0,35,599,1356,620L600US13152,53024,36696,13031,97,904,41,113,755,1387,1,-4061,-3112,-1327,42,30,41,78,156,31,-7.114,-7.8175,-9.2422,76.3636,3.4325,0,222.8571,26.0434,2.2861,0,0,0,1,1,1,1,1,1
12109,620L300US12109,149692,8504,72881,185,1012,0,137,611,66362,620L600US12109,172823,11899,72005,170,1320,69,501,615,86244,0,23131,3395,-876,-15,308,69,364,4,19882,15.4524,39.9224,-1.202,-8.1081,30.4348,0,265.6934,0.6547,29.9599,1,1,0,0,1,1,1,1,1
19037,620L300US19037,30668,28562,254,16,543,0,33,938,322,620L600US19037,41689,38928,551,10,732,0,16,581,871,0,11021,10366,297,-6,189,0,-17,-357,549,35.9365,36.293,116.9291,-37.5,34.8066,0,-51.5152,-38.0597,170.4969,1,1,1,0,1,0,0,0,1
12112,620L300US12112,154149,34783,5076,27,1890,0,284,445,111644,620L600US12112,170156,35184,5015,88,2681,23,190,1036,125939,0,16007,401,-61,61,791,23,-94,591,14295,10.3841,1.1529,-1.2017,225.9259,41.8519,0,-33.0986,132.809,12.8041,1,1,0,1,1,1,0,1,1
33721,620L300US33721,15189,14409,109,0,232,0,36,218,185,620L600US33721,15467,14717,44,27,147,0,0,341,191,0,278,308,-65,27,-85,0,-36,123,6,1.8303,2.1376,-59.633,0,-36.6379,0,-100,56.422,3.2432,1,1,0,1,0,0,0,1,1
13039,620L300US13039,46855,10523,25393,88,362,0,151,493,9845,620L600US13039,61810,13422,33113,79,824,0,114,1469,12789,1,14955,2899,7720,-9,462,0,-37,976,2944,31.9176,27.5492,30.4021,-10.2273,127.6243,0,-24.5033,197.9716,29.9035,1,1,1,0,1,0,0,1,1
13059,620L300US13059,57727,18132,30952,56,1109,0,238,797,6443,620L600US13059,58263,20595,30134,43,925,0,524,1069,4973,1,536,2463,-818,-13,-184,0,286,272,-1470,0.9285,13.5837,-2.6428,-23.2143,-16.5915,0,120.1681,34.128,-22.8155,1,1,0,0,0,0,1,1,0
10009,620L300US10009,21339,16281,3844,27,115,0,105,195,772,620L600US10009,28661,19741,6142,23,1163,0,0,501,1091,0,7322,3460,2298,-4,1048,0,-105,306,319,34.3128,21.2518,59.7815,-14.8148,911.3043,0,-100,156.9231,41.3212,1,1,1,0,1,0,0,1,1
13140,620L300US13140,57599,35554,18712,157,556,0,160,701,1759,620L600US13140,52813,30930,17864,69,674,26,0,821,2429,1,-4786,-4624,-848,-88,118,26,-160,120,670,-8.3092,-13.0056,-4.5319,-56.051,21.223,0,-100,17.1184,38.0898,0,0,0,0,1,1,0,1,1
9102,620L300US09102,23264,20248,421,39,1194,0,101,189,1072,620L600US09102,23564,19850,371,12,1280,0,18,337,1696,0,300,-398,-50,-27,86,0,-83,148,624,1.2895,-1.9656,-11.8765,-69.2308,7.2027,0,-82.1782,78.3069,58.209,1,0,0,0,1,0,0,1,1
13067,620L300US13067,49130,33036,11331,286,526,0,229,607,3115,620L600US13067,53023,34143,14224,50,775,0,78,974,2779,1,3893,1107,2893,-236,249,0,-151,367,-336,7.9239,3.3509,25.5317,-82.5175,47.3384,0,-65.9389,60.4613,-10.7865,1,1,1,0,1,0,0,1,0
5019,620L300US05019,28221,21817,3698,164,51,0,17,218,2256,620L600US05019,27356,20492,3542,105,82,12,9,327,2787,0,-865,-1325,-156,-59,31,12,-8,109,531,-3.0651,-6.0732,-4.2185,-35.9756,60.7843,0,-47.0588,50,23.5372,0,0,0,0,1,1,0,1,1
13068,620L300US13068,56766,43836,8996,40,430,0,76,1137,2251,620L600US13068,58500,43315,10076,232,416,45,877,1085,2454,1,1734,-521,1080,192,-14,45,801,-52,203,3.0546,-1.1885,12.0053,480,-3.2558,0,1053.9474,-4.5734,9.0182,1,0,1,1,0,1,1,0,1
41032,620L300US41032,64514,56424,361,254,702,71,54,1605,5043,620L600US41032,68298,57697,407,244,726,242,29,2418,6535,0,3784,1273,46,-10,24,171,-25,813,1492,5.8654,2.2561,12.7424,-3.937,3.4188,240.8451,-46.2963,50.6542,29.5856,1,1,1,0,1,1,0,1,1
26006,620L300US26006,89182,16156,50447,316,825,72,71,1274,20021,620L600US26006,90021,21093,45034,352,1322,102,116,1771,20231,0,839,4937,-5413,36,497,30,45,497,210,0.9408,30.5583,-10.7301,11.3924,60.2424,41.6667,63.3803,39.011,1.0489,1,1,0,1,1,1,1,1,1
49064,620L300US49064,37942,26333,235,548,609,387,28,863,8939,620L600US49064,42842,28963,337,330,837,354,122,1305,10594,0,4900,2630,102,-218,228,-33,94,442,1655,12.9144,9.9875,43.4043,-39.781,37.4384,-8.5271,335.7143,51.2167,18.5144,1,1,1,0,1,0,1,1,1
36035,620L300US36035,118927,11711,16112,67,27216,82,307,1089,62343,620L600US36035,118674,9975,13063,140,29534,6,598,1703,63655,0,-253,-1736,-3049,73,2318,-76,291,614,1312,-0.2127,-14.8237,-18.9238,108.9552,8.517,-92.6829,94.7883,56.382,2.1045,0,0,0,1,1,0,1,1,1
55075,620L300US55075,57417,54454,509,634,261,0,18,513,1028,620L600US55075,56773,53118,703,564,352,0,35,753,1248,0,-644,-1336,194,-70,91,0,17,240,220,-1.1216,-2.4534,38.1139,-11.041,34.8659,0,94.4444,46.7836,21.4008,0,0,1,0,1,0,1,1,1
13055,620L300US13055,63092,15277,43214,79,1498,0,12,731,2281,620L600US13055,63187,15679,43206,203,1145,0,66,1164,1724,1,95,402,-8,124,-353,0,54,433,-557,0.1506,2.6314,-0.0185,156.962,-23.5648,0,450,59.2339,-24.4191,1,1,0,1,0,0,1,1,0
5068,620L300US05068,29476,28053,149,231,110,0,0,385,548,620L600US05068,31193,29276,126,137,118,21,1,566,948,0,1717,1223,-23,-94,8,21,1,181,400,5.8251,4.3596,-15.4362,-40.6926,7.2727,0,0,47.013,72.9927,1,1,0,0,1,1,1,1,1
13149,620L300US13149,54429,32623,17715,91,129,0,24,240,3607,620L600US13149,52637,30784,17530,18,83,0,107,735,3380,1,-1792,-1839,-185,-73,-46,0,83,495,-227,-3.2924,-5.6371,-1.0443,-80.2198,-35.6589,0,345.8333,206.25,-6.2933,0,0,0,0,0,0,1,1,0
13175,620L300US13175,56458,37993,14928,34,628,0,38,720,2117,620L600US13175,56049,37743,13377,68,744,60,82,1064,2911,1,-409,-250,-1551,34,116,60,44,344,794,-0.7244,-0.658,-10.3899,100,18.4713,0,115.7895,47.7778,37.5059,0,0,0,1,1,1,1,1,1
19045,620L300US19045,30562,25449,1234,60,2357,0,66,425,971,620L600US19045,34487,26251,1385,86,3867,0,48,1388,1462,0,3925,802,151,26,1510,0,-18,963,491,12.8427,3.1514,12.2366,43.3333,64.0645,0,-27.2727,226.5882,50.5664,1,1,1,1,1,0,0,1,1
13154,620L300US13154,54532,19182,33835,69,283,0,160,400,603,620L600US13154,49947,17407,30106,54,288,43,54,470,1525,1,-4585,-1775,-3729,-15,5,43,-106,70,922,-8.4079,-9.2535,-11.0211,-21.7391,1.7668,0,-66.25,17.5,152.9022,0,0,0,0,1,1,0,1,1
13045,620L300US13045,51751,42173,3720,9,2562,0,119,618,2550,620L600US13045,55285,41713,3922,105,4669,10,224,1254,3388,1,3534,-460,202,96,2107,10,105,636,838,6.8289,-1.0907,5.4301,1066.6667,82.2404,0,88.2353,102.9126,32.8627,1,0,1,1,1,1,1,1,1
13118,620L300US13118,49689,23106,17156,22,737,0,26,1082,7560,620L600US13118,58295,26772,20069,34,1215,0,82,1336,8787,1,8606,3666,2913,12,478,0,56,254,1227,17.3197,15.866,16.9795,54.5455,64.8575,0,215.3846,23.475,16.2302,1,1,1,1,1,0,1,1,1
13037,620L300US13037,54933,31004,12197,174,2483,0,118,512,8445,620L600US13037,58927,32306,12970,59,2499,43,443,1723,8884,1,3994,1302,773,-115,16,43,325,1211,439,7.2707,4.1995,6.3376,-66.092,0.6444,0,275.4237,236.5234,5.1983,1,1,1,0,1,1,1,1,1
13090,620L300US13090,56837,15750,37048,3,1061,0,176,1457,1342,620L600US13090,56465,13007,39029,37,998,0,167,1099,2128,1,-372,-2743,1981,34,-63,0,-9,-358,786,-0.6545,-17.4159,5.3471,1133.3333,-5.9378,0,-5.1136,-24.571,58.5693,0,0,1,1,0,0,0,0,1
13062,620L300US13062,55952,11238,39511,0,711,0,228,648,3616,620L600US13062,64694,11341,48948,99,505,88,265,434,3014,1,8742,103,9437,99,-206,88,37,-214,-602,15.6241,0.9165,23.8845,0,-28.9733,0,16.2281,-33.0247,-16.6482,1,1,1,1,0,1,1,0,0
13021,620L300US13021,40928,33121,2820,77,1000,0,0,657,3253,620L600US13021,63607,48483,4244,36,1176,0,26,997,8645,1,22679,15362,1424,-41,176,0,26,340,5392,55.4119,46.3814,50.4965,-53.2468,17.6,0,0,51.7504,165.7547,1,1,1,0,1,0,1,1,1
13113,620L300US13113,48806,15904,27962,7,179,0,81,1306,3367,620L600US13113,58941,14957,37856,166,658,0,231,1023,4050,1,10135,-947,9894,159,479,0,150,-283,683,20.7659,-5.9545,35.3837,2271.4286,267.5978,0,185.1852,-21.6692,20.2851,1,0,1,1,1,0,1,0,1
12009,620L300US12009,156137,112743,25718,463,5202,112,223,2704,8972,620L600US12009,164352,114893,27378,311,7044,18,326,4042,10340,0,8215,2150,1660,-152,1842,-94,103,1338,1368,5.2614,1.907,6.4546,-32.8294,35.4095,-83.9286,46.1883,49.4822,15.2474,1,1,1,0,1,0,1,1,1
25207,620L300US25207,41488,39543,265,44,278,0,16,489,853,620L600US25207,43041,39635,441,15,650,0,62,551,1687,0,1553,92,176,-29,372,0,46,62,834,3.7433,0.2327,66.4151,-65.9091,133.8129,0,287.5,12.6789,97.7726,1,1,1,0,1,0,1,1,1
23123,620L300US23123,7309,6650,166,83,225,0,0,170,15,620L600US23123,9009,7721,228,20,396,0,19,253,372,1,1700,1071,62,-63,171,0,19,83,357,23.259,16.1053,37.3494,-75.9036,76,0,0,48.8235,2380,1,1,1,0,1,0,1,1,1
2731A,620L300US2731A,38816,36794,176,55,471,6,3,404,907,620L600US2731A,41486,38214,323,188,740,0,136,968,917,0,2670,1420,147,133,269,-6,133,564,10,6.8786,3.8593,83.5227,241.8182,57.1125,-100,4433.3333,139.604,1.1025,1,1,1,1,1,0,1,1,1
