geoid,geo_id_acs12,tot_pop_acs12,nh_white_acs12,nh_black_acs12,nh_aian_acs12,nh_asian_acs12,nh_haw_pi_acs12,nh_other_acs12,nh_two_plus_acs12,hispanic_acs12,geo_id_acs19,tot_pop_acs19,nh_white_acs19,nh_black_acs19,nh_aian_acs19,nh_asian_acs19,nh_haw_pi_acs19,nh_other_acs19,nh_two_plus_acs19,hispanic_acs19,interp_flag,tot_pop_change,nh_white_change,nh_black_change,nh_aian_change,nh_asian_change,nh_haw_pi_change,nh_other_change,nh_two_plus_change,hispanic_change,pct_tot_pop_change,pct_nh_white_change,pct_nh_black_change,pct_nh_aian_change,pct_nh_asian_change,pct_nh_haw_pi_change,pct_nh_other_change,pct_nh_two_plus_change,pct_hispanic_change,tot_pop_inc,nh_white_inc,nh_black_inc,nh_aian_inc,nh_asian_inc,nh_haw_pi_inc,nh_other_inc,nh_two_plus_inc,hispanic_inc
13050,610U300US13050,172116,144421,9943,261,2395,91,158,1442,13405,610U600US13050,178651,144728,10202,332,2279,81,395,2939,17695,1,6535,307,259,71,-116,-10,237,1497,4290,3.7969,0.2126,2.6048,27.2031,-4.8434,-10.989,150,103.8141,32.003,1,1,1,1,0,0,1,1,1
13043,610U300US13043,173809,53218,102052,148,2045,3,532,2725,13086,610U600US13043,185348,44474,119945,326,2768,259,513,3421,13642,1,11539,-8744,17893,178,723,256,-19,696,556,6.6389,-16.4305,17.5332,120.2703,35.3545,8533.3333,-3.5714,25.5413,4.2488,1,0,1,1,1,1,0,1,1
8002,610U300US08002,145154,116934,6275,1338,1714,199,324,3860,14510,610U600US08002,155679,121000,5417,936,2583,818,83,4459,20383,0,10525,4066,-858,-402,869,619,-241,599,5873,7.2509,3.4772,-13.6733,-30.0448,50.7001,311.0553,-74.3827,15.5181,40.4755,1,1,0,0,1,1,0,1,1
13012,610U300US13012,170213,54821,107431,148,1100,6,213,1781,4713,610U600US13012,162711,48814,103327,257,1862,43,186,2083,6139,1,-7502,-6007,-4104,109,762,37,-27,302,1426,-4.4074,-10.9575,-3.8201,73.6486,69.2727,616.6667,-12.6761,16.9568,30.2567,0,0,0,1,1,1,0,1,1
18041,610U300US18041,130789,116768,2280,192,2825,19,608,1796,6301,610U600US18041,140757,120781,3673,297,5359,54,363,2291,7939,0,9968,4013,1393,105,2534,35,-245,495,1638,7.6214,3.4367,61.0965,54.6875,89.6991,184.2105,-40.2961,27.5612,25.9959,1,1,1,1,1,1,0,1,1
13020,610U300US13020,173078,109929,49746,172,3246,49,457,2589,6890,610U600US13020,185977,110155,57042,523,4568,19,655,3601,9414,1,12899,226,7296,351,1322,-30,198,1012,2524,7.4527,0.2056,14.6665,204.0698,40.727,-61.2245,43.326,39.0885,36.6328,1,1,1,1,1,0,1,1,1
13045,610U300US13045,180313,107889,25834,160,18250,119,299,2872,24890,610U600US13045,203029,112667,34472,186,24137,0,748,4612,26207,1,22716,4778,8638,26,5887,-119,449,1740,1317,12.5981,4.4286,33.4366,16.25,32.2575,-100,150.1672,60.585,5.2913,1,1,1,1,1,0,1,1,1
27065,610U300US27065,80585,37703,18404,385,12067,27,86,2840,9073,610U600US27065,85012,39103,17701,820,13902,6,206,3511,9763,0,4427,1400,-703,435,1835,-21,120,671,690,5.4936,3.7132,-3.8198,112.987,15.2068,-77.7778,139.5349,23.6268,7.605,1,1,0,1,1,0,1,1,1
9011,610U300US09011,95626,53245,14763,73,5088,17,535,1603,20302,610U600US09011,97032,46915,13765,84,5661,0,168,2443,27996,0,1406,-6330,-998,11,573,-17,-367,840,7694,1.4703,-11.8884,-6.7601,15.0685,11.2618,-100,-68.5981,52.4017,37.8977,1,0,0,1,1,0,0,1,1
15012,610U300US15012,57723,14879,1157,39,29376,2388,67,6736,3081,610U600US15012,55941,12383,1124,57,30001,2663,133,6008,3572,0,-1782,-2496,-33,18,625,275,66,-728,491,-3.0872,-16.7753,-2.8522,46.1538,2.1276,11.5159,98.5075,-10.8076,15.9364,0,0,0,1,1,1,1,0,1
18046,610U300US18046,128621,108971,8945,203,1547,59,74,2974,5848,610U600US18046,132960,110153,9973,383,1705,0,62,4084,6600,0,4339,1182,1028,180,158,-59,-12,1110,752,3.3735,1.0847,11.4925,88.67,10.2133,-100,-16.2162,37.3235,12.8591,1,1,1,1,1,0,0,1,1
15018,610U300US15018,58308,7965,1426,29,28343,3180,8,12749,4608,610U600US15018,57610,6982,993,17,28317,3068,76,12527,5630,0,-698,-983,-433,-12,-26,-112,68,-222,1022,-1.1971,-12.3415,-30.3647,-41.3793,-0.0917,-3.522,850,-1.7413,22.1788,0,0,0,0,0,0,1,0,1
